    T[sec]  F7  F3   F  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
7.2 -10.06 8.989 13.97 2.931 -1.075 -8.012 -3.029 7.914 0.977 17.98 -24.04 -13.09 12.99 24.91 -13.09 16.9
7.20667 -1.075 11.92 22.96 8.989 1.954 -4.006 0.977 15.93 9.966 11.92 -25.01 -20.03 4.983 4.983 -11.04 0
7.21333 -1.075 1.954 15.93 5.96 -11.04 -5.081 -1.075 3.908 9.966 0.977 -39.08 -29.02 -11.04 -27.06 -25.01 -35.08
7.22 -17 -8.012 0 -7.035 -26.09 -10.06 -13.09 -9.086 0.977 -12.02 -58.04 -38.01 -32.05 -56.08 -53.05 -70.05
7.22667 -26.09 -22.08 -10.06 -17 -30.09 -19.05 -28.04 -20.03 -14.07 -19.05 -69.08 -47.09 -41.04 -62.04 -73.08 -85
7.23333 -14.07 -20.03 -9.086 -17 -25.01 -15.05 -34 -14.07 -25.01 -16.02 -52.08 -34 -34 -43.09 -65.07 -70.05
7.24 1.954 -5.081 5.96 -8.012 -17 0.977 -10.06 7.914 -15.05 -8.012 -3.029 -6.058 -8.012 -12.02 -21.01 -30.09
7.24667 18.95 11.92 20.91 0.977 -16.02 17.98 13.97 30.97 0.977 0 33.9 20.91 14.95 7.914 24.91 12.99
7.25333 19.93 18.95 24.91 10.94 -9.086 22.96 33.9 36.93 17.98 3.908 51.98 40.94 30.97 26.97 48.95 41.91
7.26 27.94 20.91 20.91 11.92 -1.075 30.97 32.93 37.91 25.99 14.95 64 49.93 37.91 37.91 52.96 57.94
7.26667 45.92 26.97 20.91 13.97 3.908 42.99 38.98 45.92 27.94 26.97 71.91 58.92 49.93 51.98 60.97 72.98
7.27333 64 37.91 26.97 21.98 11.92 56.96 54.91 54.91 36.93 40.94 83.93 70.93 58.92 60.97 72.98 79.92
7.28 61.94 40.94 32.93 27.94 15.93 58.92 62.92 61.94 49.93 44.94 79.92 68.98 64 61.94 68.98 78.94
7.28667 30 34.98 30.97 30 15.93 38.98 47 43.97 53.93 34.98 51.98 45.92 51.98 47.97 38.98 55.98
7.29333 3.908 22.96 22.96 18.95 13.97 8.989 15.93 20.91 39.96 21.98 5.96 4.983 22.96 20.91 2.931 13.97
7.3 1.954 15.93 16.9 8.989 10.94 -3.029 -7.035 8.989 18.95 10.94 -21.01 -20.03 -1.075 -3.029 -23.06 -20.03
7.30667 3.908 17.98 21.98 10.94 13.97 -11.04 -6.058 9.966 5.96 4.983 -41.04 -30.09 -8.012 -32.05 -29.02 -44.06
7.31333 12.99 24.91 23.94 17.98 11.92 -11.04 2.931 12.99 3.908 1.954 -66.05 -26.09 -12.02 -51 -31.07 -56.08
7.32 10.94 22.96 22.96 15.93 10.94 -9.086 4.983 10.94 6.937 -7.035 -79.04 -27.06 -13.09 -54.03 -41.04 -61.06
7.32667 9.966 8.989 13.97 1.954 1.954 -8.012 -3.029 -1.075 -1.075 -14.07 -66.05 -22.08 -22.08 -42.01 -49.05 -52.08
7.33333 11.92 -3.029 0.977 -15.05 -15.05 -1.075 -13.09 -19.05 -11.04 -21.01 -37.03 -17 -31.07 -25.01 -35.08 -37.03
7.34 7.914 -15.05 -10.06 -28.04 -25.01 4.983 -11.04 -21.01 -21.01 -25.01 3.908 -2.052 -30.09 -4.006 -3.029 -8.012
7.34667 4.983 -18.08 -19.05 -28.04 -26.09 14.95 -3.029 -19.05 -26.09 -23.06 36.93 3.908 -16.02 4.983 18.95 12.99
7.35333 0 -20.03 -18.08 -22.08 -14.07 17.98 1.954 -11.04 -24.04 -15.05 54.91 9.966 -3.029 12.99 32.93 21.98
7.36 8.989 -18.08 -13.09 -16.02 0 16.9 1.954 -4.006 -18.08 -1.075 62.92 5.96 1.954 15.93 30.97 18.95
7.36667 22.96 -8.012 -7.035 -10.06 3.908 14.95 0.977 -1.075 -15.05 7.914 57.94 0.977 0 12.99 18.95 10.94
7.37333 24.91 0 0.977 -2.052 11.92 10.94 0 0 -9.086 15.93 35.96 -5.081 -2.052 8.989 0.977 -1.075
7.38 13.97 3.908 5.96 0 19.93 3.908 11.92 10.94 0.977 17.98 16.9 -5.081 3.908 11.92 -9.086 0.977
7.38667 0 5.96 11.92 9.966 23.94 -3.029 17.98 24.91 11.92 15.93 1.954 -5.081 13.97 16.9 -17 0
7.39333 -17 1.954 11.92 13.97 15.93 -13.09 13.97 23.94 23.94 7.914 -17 -9.086 17.98 5.96 -23.06 0.977
7.4 -21.01 0.977 3.908 11.92 1.954 -19.05 1.954 15.93 21.98 -2.052 -27.06 -17 5.96 -9.086 -29.02 -19.05
7.40667 -15.05 -3.029 -2.052 8.989 -5.081 -19.05 -5.081 -1.075 9.966 -9.086 -29.02 -23.06 -5.081 -27.06 -33.02 -40.06
7.41333 -3.029 -5.081 -3.029 0 -9.086 -15.05 -13.09 -11.04 -5.081 -17 -25.01 -17 -19.05 -33.02 -23.06 -49.05
7.42 0 -10.06 -7.035 -6.058 -3.029 -8.012 -14.07 -18.08 -21.01 -19.05 -4.006 -3.029 -22.08 -25.01 2.931 -32.05
7.42667 -2.052 -12.02 -7.035 -14.07 -2.052 -2.052 -14.07 -12.02 -29.02 -17 6.937 1.954 -16.02 -7.035 22.96 -2.052
7.43333 4.983 -8.012 -1.075 -12.02 1.954 4.983 -8.012 -4.006 -23.06 -6.058 10.94 11.92 -6.058 3.908 38.98 19.93
7.44 20.91 2.931 4.983 -1.075 12.99 25.99 2.931 7.914 -9.086 0.977 13.97 23.94 8.989 17.98 44.94 38.98
7.44667 38.98 22.96 11.92 8.989 19.93 36.93 26.97 20.91 3.908 12.99 18.95 41.91 30.97 30 47 51.98
7.45333 45.92 30.97 7.914 7.914 20.91 32.93 39.96 19.93 11.92 11.92 18.95 47.97 35.96 26.97 38.98 51.98
7.46 23.94 11.92 -11.04 -7.035 7.914 11.92 31.95 7.914 3.908 0.977 9.966 27.94 19.93 13.97 20.91 31.95
7.46667 -6.058 -15.05 -35.08 -27.06 -11.04 -7.035 4.983 -11.04 -7.035 -16.02 -3.029 -2.052 -1.075 0.977 -3.029 6.937
7.47333 -28.04 -35.08 -38.01 -38.01 -24.04 -21.01 -24.04 -30.09 -25.01 -24.04 -15.05 -39.08 -27.06 -1.075 -27.06 -13.09
7.48 -33.02 -35.08 -28.04 -33.02 -24.04 -23.06 -44.06 -28.04 -31.07 -21.01 -13.09 -60.09 -32.05 4.983 -35.08 -18.08
7.48667 -23.06 -18.08 -8.012 -15.05 -12.02 -19.05 -39.08 -9.086 -23.06 -9.086 -3.029 -60.09 -18.08 12.99 -29.02 -11.04
7.49333 -4.006 1.954 3.908 -1.075 1.954 -13.09 -13.09 14.95 1.954 -1.075 -11.04 -44.06 0.977 7.914 -21.01 -3.029
7.5 8.989 14.95 19.93 6.937 12.99 -9.086 6.937 37.91 20.91 1.954 -31.07 -19.05 8.989 -4.006 -17 -9.086
7.50667 21.98 23.94 26.97 19.93 17.98 -2.052 26.97 43.97 30.97 1.954 -44.06 -1.075 10.94 -21.01 -19.05 -21.01
7.51333 22.96 27.94 30.97 26.97 21.98 1.954 30.97 31.95 23.94 1.954 -35.08 18.95 0 -30.09 -15.05 -25.01
7.52 7.914 19.93 28.92 27.94 17.98 -2.052 15.93 22.96 13.97 1.954 -8.012 24.91 -2.052 -24.04 -3.029 -16.02
7.52667 -2.052 5.96 14.95 16.9 9.966 1.954 -4.006 13.97 -2.052 -1.075 9.966 20.91 -7.035 -12.02 6.937 -1.075
7.53333 -5.081 -7.035 0.977 1.954 -2.052 0 -18.08 3.908 -2.052 -13.09 10.94 10.94 -12.02 -7.035 10.94 -2.052
7.54 -2.052 -18.08 -7.035 -8.012 -12.02 -1.075 -20.03 -3.029 -12.02 -19.05 9.966 1.954 -18.08 -10.06 6.937 0.977
7.54667 -2.052 -22.08 -17 -17 -21.01 1.954 -17 -16.02 -20.03 -20.03 13.97 1.954 -25.01 -11.04 4.983 -1.075
7.55333 -5.081 -22.08 -20.03 -17 -20.03 1.954 -21.01 -23.06 -29.02 -15.05 19.93 1.954 -22.08 -12.02 12.99 -9.086
7.56 -9.086 -15.05 -10.06 -9.086 -8.012 3.908 -16.02 -10.06 -27.06 -5.081 13.97 0 -12.02 -6.058 14.95 -12.02
7.56667 -2.052 1.954 4.983 4.983 0.977 5.96 -4.006 8.989 -11.04 0.977 -3.029 -5.081 0.977 -2.052 -1.075 -13.09
7.57333 2.931 17.98 23.94 19.93 7.914 0 12.99 33.9 3.908 10.94 -35.08 -6.058 7.914 8.989 -29.02 -10.06
7.58 7.914 25.99 31.95 19.93 9.966 -3.029 21.98 47.97 19.93 21.98 -43.09 -7.035 19.93 25.99 -35.08 7.914
7.58667 5.96 16.9 19.93 9.966 4.983 -8.012 13.97 37.91 21.98 25.99 -26.09 -7.035 31.95 40.94 -5.081 37.91
7.59333 -6.058 0 -7.035 -6.058 -2.052 -14.07 -2.052 8.989 13.97 16.9 -4.006 -5.081 30.97 35.96 20.91 47.97
7.6 -26.09 -26.09 -34 -23.06 -2.052 -17 -28.04 -19.05 -2.052 -1.075 9.966 -9.086 12.99 17.98 26.97 30.97
7.60667 -32.05 -40.06 -49.05 -30.09 -3.029 -18.08 -40.06 -36.05 -17 -14.07 14.95 -5.081 -6.058 -1.075 10.94 1.954
7.61333 -17 -34 -39.08 -28.04 -2.052 -10.06 -34 -32.05 -31.07 -15.05 12.99 1.954 -22.08 -11.04 2.931 -16.02
7.62 -2.052 -16.02 -13.09 -20.03 11.92 -2.052 -14.07 -10.06 -33.02 -4.006 18.95 17.98 -22.08 -7.035 -1.075 -18.08
7.62667 9.966 0 3.908 -9.086 19.93 0 0 1.954 -21.01 1.954 15.93 23.94 -11.04 -1.075 2.931 -11.04
7.63333 5.96 5.96 7.914 -2.052 13.97 1.954 3.908 6.937 -5.081 1.954 0 17.98 -3.029 -3.029 0.977 -12.02
7.64 -3.029 -2.052 0 -7.035 0.977 1.954 -1.075 3.908 -2.052 -3.029 -7.035 5.96 -3.029 -7.035 -1.075 -21.01
7.64667 -11.04 -9.086 -3.029 -13.09 -13.09 1.954 -13.09 1.954 -1.075 -11.04 -9.086 -2.052 -9.086 -7.035 -3.029 -29.02
7.65333 -6.058 -19.05 -5.081 -15.05 -11.04 1.954 -17 2.931 -9.086 -7.035 -8.012 -3.029 -14.07 0 -9.086 -34
7.66 -5.081 -21.01 -3.029 -11.04 0.977 -2.052 -15.05 3.908 -11.04 1.954 -12.02 -13.09 -13.09 3.908 -21.01 -34
7.66667 -8.012 -23.06 0 -3.029 6.937 -5.081 -13.09 2.931 -5.081 15.93 -23.06 -21.01 -5.081 12.99 -37.03 -29.02
7.67333 -10.06 -21.01 1.954 -2.052 8.989 -11.04 -9.086 6.937 0 19.93 -31.07 -21.01 0 12.99 -41.04 -21.01
7.68 -5.081 -11.04 6.937 3.908 12.99 -5.081 -2.052 23.94 8.989 17.98 -23.06 -3.029 5.96 13.97 -27.06 -4.006
7.68667 1.954 -2.052 20.91 9.966 21.98 -1.075 13.97 40.94 16.9 20.91 -1.075 15.93 22.96 18.95 0.977 18.95
7.69333 2.931 13.97 32.93 21.98 36.93 0 23.94 50.9 26.97 25.99 19.93 30 35.96 25.99 26.97 44.94
7.7 4.983 24.91 37.91 32.93 44.94 2.931 24.91 50.9 35.96 26.97 51.98 36.93 39.96 31.95 52.96 62.92
7.70667 3.908 23.94 39.96 31.95 35.96 5.96 17.98 41.91 37.91 11.92 65.95 37.91 31.95 30 64.97 61.94
7.71333 15.93 20.91 42.99 26.97 20.91 13.97 16.9 35.96 30.97 0.977 71.91 47 19.93 20.91 68.98 49.93
7.72 30.97 17.98 40.94 17.98 5.96 24.91 23.94 34.98 18.95 -8.012 54.91 53.93 7.914 13.97 58.92 31.95
7.72667 32.93 18.95 35.96 20.91 -2.052 26.97 30.97 37.91 11.92 -8.012 17.98 50.9 6.937 1.954 32.93 12.99
7.73333 19.93 18.95 30 24.91 1.954 12.99 24.91 33.9 11.92 -4.006 -28.04 24.91 -2.052 -5.081 2.931 -9.086
7.74 -4.006 8.989 23.94 21.98 0 -7.035 4.983 18.95 8.989 -7.035 -83.05 -11.04 -13.09 -18.08 -43.09 -39.08
7.74667 -27.06 1.954 5.96 4.983 0 -38.01 -18.08 -3.029 0.977 -16.02 -118 -54.03 -34 -30.09 -87.05 -70.05
7.75333 -36.05 -11.04 -7.035 -9.086 -6.058 -57.06 -37.03 -22.08 -13.09 -23.06 -126 -83.05 -52.08 -38.01 -111.1 -90.08
7.76 -38.01 -25.01 -20.03 -23.06 -10.06 -53.05 -46.02 -25.01 -28.04 -16.02 -90.08 -81.09 -48.07 -31.07 -103.1 -86.08
7.76667 -36.05 -33.02 -29.02 -23.06 -5.081 -37.03 -34 -18.08 -27.06 -4.006 -38.01 -56.08 -30.09 -18.08 -67.02 -59.01
7.77333 -30.09 -35.08 -30.09 -13.09 -1.075 -17 -22.08 -15.05 -20.03 0.977 0 -27.06 -10.06 -3.029 -19.05 -26.09
7.78 -22.08 -35.08 -31.07 -15.05 4.983 -7.035 -15.05 -12.02 -11.04 3.908 14.95 -7.035 1.954 4.983 2.931 1.954
7.78667 -9.086 -28.04 -31.07 -22.08 2.931 0 -16.02 -13.09 -12.02 0.977 30.97 -1.075 0.977 10.94 22.96 18.95
7.79333 8.989 -14.07 -23.06 -27.06 -1.075 11.92 -8.012 -2.052 -16.02 -1.075 53.93 13.97 5.96 12.99 36.93 31.95
7.8 33.9 0.977 -9.086 -22.08 -9.086 36.93 6.937 17.98 -9.086 -4.006 92.92 42.99 19.93 15.93 64.97 49.93
7.80667 52.96 22.96 3.908 -4.006 -9.086 52.96 32.93 33.9 -2.052 -2.052 109.9 68.98 34.98 15.93 94.97 66.93
7.81333 56.96 31.95 16.9 5.96 1.954 50.9 45.92 40.94 14.95 -1.075 94.97 73.96 39.96 13.97 92.92 64
7.82 39.96 26.97 10.94 2.931 2.931 35.96 36.93 31.95 20.91 1.954 64 58.92 35.96 1.954 68.98 39.96
7.82667 9.966 7.914 -3.029 -5.081 -2.052 15.93 17.98 11.92 13.97 0 23.94 25.99 17.98 -15.05 34.98 1.954
7.83333 -2.052 -4.006 -13.09 -12.02 1.954 -1.075 4.983 -1.075 1.954 -4.006 -15.05 1.954 -1.075 -25.01 2.931 -24.04
7.84 -12.02 -13.09 -8.012 -13.09 1.954 -17 -3.029 -8.012 -12.02 -11.04 -75.04 -31.07 -21.01 -27.06 -31.07 -52.08
7.84667 -26.09 -15.05 -4.006 -9.086 0 -44.06 -19.05 -18.08 -20.03 -12.02 -137.1 -67.02 -46.02 -24.04 -85 -72.01
7.85333 -41.04 -25.01 -10.06 -17 1.954 -65.07 -41.04 -33.02 -26.09 -15.05 -163.1 -97.02 -63.02 -27.06 -129.1 -90.08
7.86 -50.02 -35.08 -20.03 -33.02 -8.012 -61.06 -59.01 -44.06 -37.03 -19.05 -123 -97.02 -70.05 -26.09 -127 -89.01
7.86667 -40.06 -35.08 -24.04 -35.08 -20.03 -37.03 -57.06 -42.01 -47.09 -23.06 -51 -71.03 -59.01 -18.08 -81.09 -63.02
7.87333 -17 -21.01 -19.05 -27.06 -27.06 -13.09 -37.03 -35.08 -49.05 -23.06 -1.075 -37.03 -43.09 -1.075 -25.01 -26.09
7.88 -2.052 -7.035 -11.04 -19.05 -27.06 -3.029 -17 -24.04 -39.08 -19.05 16.9 -17 -20.03 14.95 0.977 -1.075
7.88667 -5.081 -1.075 -13.09 -19.05 -21.01 -3.029 -7.035 -25.01 -25.01 -11.04 17.98 -11.04 -9.086 21.98 -1.075 15.93
7.89333 -13.09 -1.075 -17 -21.01 -13.09 -1.075 -5.081 -27.06 -17 -5.081 31.95 -3.029 -1.075 17.98 8.989 25.99
7.9 -15.05 -1.075 -11.04 -13.09 -3.029 0.977 -1.075 -14.07 -15.05 0.977 58.92 7.914 4.983 16.9 36.93 36.93
7.90667 -11.04 -2.052 0 -2.052 1.954 0 -2.052 -1.075 -9.086 1.954 60.97 23.94 13.97 10.94 58.92 43.97
7.91333 -3.029 3.908 15.93 12.99 15.93 0 3.908 13.97 -1.075 12.99 28.92 30 26.97 3.908 48.95 35.96
7.92 5.96 17.98 31.95 24.91 33.9 1.954 13.97 31.95 20.91 24.91 4.983 30 40.94 -3.029 20.91 16.9
7.92667 32.93 39.96 49.93 44.94 55.98 13.97 35.96 54.91 47 38.98 4.983 38.98 59.99 -7.035 4.983 7.914
7.93333 48.95 62.92 64 66.93 65.95 28.92 58.92 71.91 70.93 42.99 11.92 47 70.93 -7.035 10.94 6.937
7.94 40.94 57.94 55.98 66.93 51.98 27.94 57.94 60.97 82.95 32.93 -4.006 36.93 65.95 -1.075 10.94 9.966
7.94667 17.98 30.97 23.94 31.95 26.97 3.908 30.97 15.93 64 9.966 -56.08 5.96 37.91 0 -15.05 0.977
7.95333 -3.029 -3.029 -9.086 -5.081 0 -17 -3.029 -25.01 17.98 -5.081 -97.02 -29.02 0.977 -3.029 -55.01 -19.05
7.96 -6.058 -21.01 -22.08 -27.06 -4.006 -20.03 -21.01 -35.08 -18.08 -11.04 -75.04 -44.06 -18.08 5.96 -63.02 -18.08
7.96667 1.954 -12.02 -13.09 -17 -2.052 -9.086 -14.07 -16.02 -32.05 -9.086 -8.012 -34 -19.05 22.96 -31.07 -1.075
7.97333 -1.075 1.954 -1.075 -2.052 1.954 1.954 1.954 0.977 -24.04 -6.058 40.94 -7.035 -12.02 37.91 8.989 16.9
7.98 -9.086 -2.052 1.954 0 0.977 1.954 1.954 -2.052 -11.04 -4.006 58.92 1.954 -9.086 38.98 26.97 21.98
7.98667 -18.08 -13.09 -6.058 -10.06 -5.081 1.954 -2.052 -12.02 -7.035 -9.086 47.97 0.977 -13.09 30 16.9 13.97
7.99333 -7.035 -18.08 -11.04 -15.05 -5.081 2.931 -11.04 -21.01 -13.09 -8.012 47.97 -1.075 -20.03 18.95 14.95 0
8 3.908 -13.09 -8.012 -6.058 -11.04 15.93 -7.035 -9.086 -13.09 -12.02 59.99 7.914 -17 9.966 26.97 1.954
8.00667 12.99 -4.006 -7.035 0 -17 23.94 0 1.954 -8.012 -19.05 60.97 16.9 -14.07 0.977 34.98 2.931
8.01333 21.98 -1.075 -6.058 -5.081 -23.06 16.9 4.983 0.977 -10.06 -30.09 35.96 20.91 -22.08 -14.07 20.91 -14.07
8.02 18.95 -8.012 -11.04 -14.07 -21.01 5.96 0 -4.006 -20.03 -37.03 10.94 8.989 -34 -36.05 -5.081 -46.02
8.02667 7.914 -11.04 -2.052 -10.06 -11.04 -7.035 -5.081 -3.029 -21.01 -28.04 -5.081 -1.075 -29.02 -41.04 -21.01 -63.02
8.03333 -1.075 -2.052 13.97 7.914 7.914 -22.08 -13.09 11.92 -11.04 -8.012 -23.06 -12.02 -8.012 -28.04 -15.05 -51
8.04 -4.006 11.92 34.98 38.98 27.94 -25.01 -6.058 38.98 13.97 13.97 -57.06 -10.06 21.98 -3.029 -9.086 -19.05
8.04667 7.914 32.93 54.91 66.93 47.97 -19.05 7.914 61.94 43.97 34.98 -100 -1.075 53.93 4.983 -25.01 3.908
8.05333 39.96 54.91 70.93 84.9 59.99 -10.06 36.93 72.98 68.98 48.95 -116.1 5.96 66.93 7.914 -47.09 16.9
8.06 62.92 66.93 71.91 85.98 62.92 5.96 56.96 68.98 81 55.98 -72.01 18.95 77.97 18.95 -39.08 31.95
8.06667 60.97 61.94 60.97 73.96 54.91 22.96 61.94 61.94 76.99 53.93 -2.052 40.94 81 37.91 2.931 62.92
8.07333 47.97 43.97 35.96 47.97 35.96 37.91 47.97 41.91 61.94 39.96 64 55.98 73.96 49.93 44.94 85.98
8.08 33.9 14.95 5.96 19.93 6.937 41.91 24.91 17.98 37.91 17.98 88.91 57.94 51.98 48.95 62.92 87.93
8.08667 16.9 -9.086 -21.01 -6.058 -23.06 30 -2.052 -16.02 6.937 -12.02 78.94 32.93 9.966 27.94 54.91 65.95
8.09333 2.931 -34 -53.05 -40.06 -49.05 10.94 -24.04 -59.01 -28.04 -44.06 61.94 -1.075 -32.05 9.966 42.99 28.92
8.1 -10.06 -57.06 -71.03 -58.04 -61.06 1.954 -47.09 -84.03 -72.01 -58.04 48.95 -20.03 -67.02 0 34.98 1.954
8.10667 -23.06 -63.02 -67.02 -52.08 -51 -8.012 -55.01 -79.04 -96.04 -56.08 24.91 -31.07 -78.07 -7.035 20.91 -18.08
8.11333 -29.02 -59.01 -47.09 -24.04 -31.07 -20.03 -45.04 -53.05 -92.04 -48.07 -10.06 -33.02 -80.02 -35.08 -11.04 -55.01
8.12 -29.02 -41.04 -23.06 0.977 -13.09 -35.08 -31.07 -22.08 -69.08 -45.04 -58.04 -41.04 -73.08 -73.08 -59.01 -99.07
8.12667 -19.05 -21.01 -3.029 13.97 -1.075 -50.02 -23.06 -1.075 -39.08 -41.04 -94.09 -49.05 -58.04 -90.08 -95.07 -122
8.13333 0.977 -3.029 9.966 27.94 5.96 -53.05 -15.05 15.93 -13.09 -27.06 -111.1 -47.09 -37.03 -77.09 -95.07 -107.1
8.14 13.97 1.954 21.98 37.91 21.98 -45.04 -3.029 25.99 0 -1.075 -103.1 -37.03 -9.086 -35.08 -71.03 -61.06
8.14667 5.96 -1.075 11.92 35.96 21.98 -44.06 -5.081 8.989 11.92 9.966 -84.03 -35.08 1.954 -3.029 -55.01 -21.01
8.15333 -21.01 -31.07 -17 3.908 0 -53.05 -35.08 -27.06 5.96 0 -61.06 -47.09 -1.075 -2.052 -57.06 -15.05
8.16 -46.02 -56.08 -49.05 -32.05 -27.06 -56.08 -65.07 -46.02 -12.02 -20.03 -12.02 -51 -19.05 -12.02 -55.01 -20.03
8.16667 -40.06 -50.02 -45.04 -46.02 -37.03 -34 -57.06 -24.04 -34 -34 42.99 -21.01 -15.05 -16.02 -21.01 -10.06
8.17333 -1.075 -12.02 -7.035 -16.02 -20.03 0.977 -4.006 19.93 -32.05 -16.02 90.96 30 5.96 0 30.97 20.91
8.18 38.98 21.98 22.96 27.94 4.983 39.96 47 48.95 -4.006 7.914 117 75.92 33.9 20.91 74.94 56.96
8.18667 50.9 24.91 25.99 44.94 17.98 54.91 58.92 32.93 16.9 22.96 108.9 79.92 41.91 28.92 82.95 62.92
8.19333 34.98 -1.075 4.983 34.98 17.98 45.92 27.94 0 13.97 16.9 82.95 52.96 22.96 17.98 66.93 47
8.2 11.92 -17 -1.075 19.93 11.92 27.94 0.977 -19.05 -2.052 7.914 55.98 23.94 7.914 11.92 50.9 31.95
8.20667 0 -9.086 6.937 26.97 24.91 2.931 -4.006 -3.029 -8.012 14.95 18.95 4.983 10.94 10.94 30.97 25.99
8.21333 1.954 7.914 26.97 43.97 42.99 -12.02 0.977 10.94 1.954 25.99 -34 -5.081 16.9 8.989 0.977 5.96
8.22 -1.075 15.93 27.94 44.94 43.97 -26.09 3.908 16.9 12.99 28.92 -91.06 -22.08 9.966 -5.081 -49.05 -31.07
8.22667 0 4.983 7.914 22.96 22.96 -38.01 -1.075 0.977 11.92 3.908 -136 -44.06 -7.035 -31.07 -91.06 -78.07
8.23333 -8.012 -14.07 -19.05 0 0 -49.05 -22.08 -25.01 -3.029 -25.01 -151.1 -61.06 -37.03 -52.08 -109 -104.1
8.24 -24.04 -30.09 -35.08 -21.01 -21.01 -55.01 -39.08 -40.06 -35.08 -42.01 -129.1 -72.01 -49.05 -49.05 -107.1 -92.04
8.24667 -25.01 -35.08 -36.05 -25.01 -18.08 -54.03 -47.09 -33.02 -45.04 -34 -81.09 -65.07 -38.01 -27.06 -81.09 -57.06
8.25333 -20.03 -31.07 -31.07 -23.06 -1.075 -36.05 -34 -20.03 -36.05 -10.06 -23.06 -44.06 -18.08 0 -35.08 -16.02
8.26 -5.081 -29.02 -34 -27.06 6.937 -9.086 -19.05 -10.06 -20.03 3.908 30 -9.086 -1.075 30 14.95 22.96
8.26667 0 -33.02 -43.09 -35.08 11.92 -1.075 -12.02 -18.08 -14.07 10.94 69.96 14.95 14.95 45.92 60.97 56.96
8.27333 -3.029 -39.08 -50.02 -39.08 6.937 2.931 -15.05 -29.02 -23.06 8.989 85.98 30 16.9 53.93 81 73.96
8.28 -8.012 -38.01 -47.09 -37.03 1.954 3.908 -11.04 -30.09 -29.02 6.937 85.98 32.93 17.98 57.94 76.99 82.95
8.28667 -10.06 -26.09 -31.07 -22.08 6.937 7.914 -2.052 -11.04 -19.05 7.914 75.92 31.95 19.93 58.92 64.97 81
8.29333 -6.058 -8.012 -7.035 -8.012 14.95 10.94 5.96 -2.052 -9.086 9.966 58.92 24.91 21.98 47.97 52.96 70.93
8.3 -2.052 1.954 3.908 -4.006 19.93 14.95 9.966 8.989 1.954 6.937 35.96 14.95 11.92 27.94 26.97 43.97
8.30667 5.96 9.966 12.99 -9.086 12.99 12.99 6.937 10.94 1.954 -1.075 0.977 0.977 0 2.931 -9.086 7.914
8.31333 19.93 9.966 12.99 -12.02 2.931 2.931 4.983 3.908 -2.052 -12.02 -30.09 -16.02 -22.08 -28.04 -45.04 -33.02
8.32 21.98 7.914 7.914 -7.035 -1.075 -5.081 -2.052 0 -7.035 -23.06 -65.07 -35.08 -41.04 -63.02 -69.08 -69.08
8.32667 14.95 6.937 10.94 -1.075 0.977 -17 0.977 0.977 -7.035 -30.09 -92.04 -48.07 -54.03 -89.01 -75.04 -94.09
8.33333 2.931 6.937 15.93 6.937 5.96 -22.08 -6.058 0.977 -8.012 -32.05 -108.1 -57.06 -65.07 -100 -77.09 -110
8.34 2.931 11.92 22.96 9.966 18.95 -15.05 -2.052 8.989 -4.006 -19.05 -93.01 -43.09 -57.06 -86.08 -75.04 -104.1
8.34667 10.94 22.96 27.94 12.99 32.93 0.977 8.989 21.98 0.977 0 -52.08 -11.04 -25.01 -48.07 -51 -70.05
8.35333 20.91 32.93 37.91 20.91 43.97 16.9 25.99 34.98 12.99 22.96 -2.052 19.93 11.92 -4.006 -7.035 -20.03
8.36 26.97 38.98 41.91 30.97 53.93 24.91 39.96 52.96 30.97 47 30.97 49.93 53.93 28.92 36.93 26.97
8.36667 25.99 30 35.96 27.94 53.93 17.98 39.96 53.93 45.92 51.98 41.91 61.94 73.96 49.93 58.92 59.99
8.37333 19.93 11.92 11.92 3.908 35.96 10.94 30 28.92 49.93 37.91 42.99 53.93 69.96 59.99 50.9 65.95
8.38 7.914 -9.086 -19.05 -27.06 1.954 3.908 5.96 -13.09 30 11.92 49.93 33.9 45.92 61.94 34.98 61.94
8.38667 -7.035 -29.02 -51 -59.01 -29.02 0 -17 -59.01 -7.035 -9.086 64 11.92 13.97 57.94 32.93 55.98
8.39333 -20.03 -41.04 -63.02 -73.08 -45.04 -2.052 -37.03 -82.07 -49.05 -19.05 72.98 -2.052 -4.006 50.9 42.99 50.9
8.4 -25.01 -41.04 -55.01 -67.02 -37.03 -2.052 -41.04 -73.08 -71.03 -13.09 65.95 -1.075 -15.05 43.97 50.9 44.94
8.40667 -14.07 -33.02 -33.02 -47.09 -14.07 -2.052 -31.07 -42.01 -60.09 -1.075 43.97 -2.052 -7.035 30 40.94 35.96
8.41333 2.931 -13.09 -5.081 -23.06 2.931 1.954 -11.04 -4.006 -30.09 -2.052 11.92 3.908 1.954 0 14.95 17.98
8.42 19.93 9.966 18.95 0 14.95 8.989 7.914 26.97 -1.075 -3.029 -15.05 5.96 11.92 -33.02 -11.04 -4.006
8.42667 20.91 31.95 34.98 20.91 19.93 6.937 21.98 39.96 25.99 -9.086 -45.04 1.954 17.98 -64.09 -33.02 -30.09
8.43333 6.937 33.9 28.92 21.98 12.99 -2.052 15.93 24.91 30.97 -15.05 -67.02 -11.04 1.954 -75.04 -47.09 -50.02
