    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
1.91406 -220.4 26.9 250.4 -264.9 -19.66 -57.94 28.97 -160.4 149 1189 1187 -169.7 888.8 1046
1.92188 53.8 26.9 61.05 -113.8 165.5 50.7 -122.1 -342.5 238 1367 917.8 -152.1 1043 1014
1.92969 208 140.7 -39.32 -96.23 -30.01 53.8 -158.3 -226.6 -124.2 902.2 979.8 68.29 687 705.7
1.9375 58.98 58.98 185.2 -78.64 -30.01 30.01 38.28 21.73 -182.1 852.6 616.7 -113.8 562.9 858.8
1.94531 53.8 -7.243 192.5 -118 68.29 -48.63 242.1 218.3 -64.15 643.6 626 118 363.2 443.9
1.95313 -115.9 154.2 134.5 133.5 246.3 32.08 62.08 114.9 45.53 613.6 733.6 193.5 375.6 500.8
1.96094 24.83 258.7 125.2 98.3 163.5 383.9 257.6 99.33 -15.52 529.8 1105 318.7 496.6 799.8
1.96875 110.7 70.36 58.98 107.6 108.6 448 119 176.9 -178 681.9 1260 203.8 794.6 925
1.97656 170.7 -57.94 -73.46 11.38 -201.8 31.04 68.29 85.88 -138.6 702.6 1219 -124.2 993.3 1018
1.98438 -81.74 -39.32 -107.6 -122.1 6.208 -151.1 -79.67 -191.4 351.8 700.5 944.7 -321.8 1002 918.8
1.99219 -275.2 -349.7 -247.3 -278.3 -4.139 -374.6 -205.9 -288.7 401.5 998.5 1037 -157.3 1043 615.6
2 -253.5 -309.4 -287.6 -191.4 -104.5 -403.5 -246.3 -309.4 295.9 1074 540.1 0 1171 641.5
2.00781 -303.2 -161.4 -17.59 220.4 -259.7 -307.3 -100.4 -116.9 -80.71 666.3 541.1 -180 908.5 324.9
2.01563 -171.8 -97.26 180 71.39 -473.9 -98.3 -112.8 8.277 -550.5 387 316.6 -41.39 423.2 -53.8
2.02344 -73.46 -249.4 240 290.7 -291.8 -217.3 81.74 229.7 -488.4 13.45 456.3 99.33 -333.2 -39.32
2.03125 -331.1 -101.4 38.28 -105.5 -240 -79.67 62.08 246.3 -376.6 -143.8 488.4 274.2 -700.5 -30.01
2.03906 -217.3 -73.46 -63.12 55.87 138.6 -30.01 28.97 -60.01 -23.8 -67.25 451.1 109.7 -626 76.57
2.04688 -15.52 -199.7 -248.3 -149 187.3 55.87 -111.7 25.87 132.4 362.1 597 -98.3 -122.1 88.98
2.05469 213.1 62.08 -95.19 -368.3 350.8 114.9 -65.19 -129.3 259.7 523.6 775 2.069 298 439.7
2.0625 70.36 -135.5 -60.01 -6.208 266.9 123.1 -129.3 -56.91 373.5 1134 789.5 -47.6 970.5 747
2.07031 -124.2 -241.1 -284.5 -284.5 55.87 -94.16 -214.2 -174.9 254.5 866 614.6 -221.4 1304 598
