    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.275 -3.073 7.953 33.98 21.96 29.91 29.91 17.98 33.98 -9.038 25.94 -9.038 7.953 11.93 23.95 -9.038 19.97
0.28 0.9941 3.977 31.99 13.92 24.94 19.97 0 19.97 -19.07 13.92 1.988 3.977 17.98 9.941 -21.06 9.941
0.285 2.982 5.965 23.95 3.977 16.99 5.965 -11.03 0 -21.06 0 13.92 -2.079 17.98 0.9941 -25.03 0.9941
0.29 6.959 7.953 13.92 -5.061 3.977 -7.049 -19.07 -15 -17.08 -11.03 16 -1.085 7.953 -11.03 -21.06 -11.03
0.295 8.947 7.953 -2.079 -15 -4.067 -22.05 -25.03 -31.09 -13.01 -19.07 7.953 -7.049 -3.073 -19.07 -15 -19.07
0.3 6.959 3.977 -10.03 -23.05 -20.06 -34.07 -33.08 -41.03 -11.03 -25.03 0.9941 -13.01 -21.06 -21.06 -11.03 -19.07
0.305 0.9941 0.9941 -21.06 -23.05 -27.02 -35.07 -39.04 -45.01 -17.08 -27.02 -9.038 -19.07 -31.09 -19.07 -13.01 -17.08
0.31 0.9941 -9.038 -22.05 -18.08 -25.03 -26.03 -45.01 -43.02 -25.03 -25.03 -13.01 -27.02 -28.02 -19.07 -19.07 -15
0.315 -3.073 -17.08 -18.08 -8.043 -19.07 -14.01 -43.02 -39.04 -29.01 -23.05 -9.038 -37.05 -18.08 -21.06 -25.03 -17.08
0.32 -5.061 -21.06 -11.03 -1.085 -9.038 -5.061 -35.07 -33.08 -25.03 -19.07 -1.085 -41.03 -7.049 -21.06 -25.03 -19.07
0.325 -3.073 -21.06 1.988 -1.085 0 0.9941 -22.05 -23.05 -13.01 -11.03 1.988 -38.05 0 -17.08 -19.07 -21.06
0.33 -1.085 -17.08 1.988 1.988 1.988 -3.073 -8.043 -16.09 1.988 -5.061 4.971 -34.07 0 -15 -5.061 -21.06
0.335 -3.073 -13.01 0.9941 -5.061 -5.061 -9.038 -7.049 -13.01 5.965 -3.073 0 -29.01 -5.061 -13.01 0 -21.06
0.34 -5.061 -8.043 -5.061 -7.049 -15 -14.01 -10.03 -16.09 4.971 -5.061 -6.055 -28.02 -13.01 -15 0 -23.05
0.345 -11.03 -8.043 -10.03 -12.02 -19.07 -19.07 -15 -20.06 -1.085 -11.03 -18.08 -30 -19.07 -19.07 -3.073 -28.02
0.35 -13.01 -9.038 -13.01 -5.061 -25.03 -17.08 -21.06 -21.06 -1.085 -13.01 -23.05 -31.09 -23.05 -23.05 -17.08 -31.09
0.355 -9.038 -3.073 -7.049 0.9941 -25.03 -3.073 -20.06 -15 -1.085 -8.043 -23.05 -24.04 -24.04 -19.07 -23.05 -28.02
0.36 -7.049 0 0 14.91 -21.06 11.93 -12.02 -5.061 0 0 -19.07 -11.03 -23.05 -12.02 -21.06 -19.07
0.365 -7.049 1.988 -1.085 20.97 -14.01 27.93 -3.073 1.988 6.959 3.977 -16.09 -6.055 -21.06 -8.043 -11.03 -14.01
0.37 -17.08 0 0 14.91 -11.03 25.94 -2.079 -3.073 9.941 0.9941 -17.08 -11.03 -13.01 -10.03 -1.085 -17.08
0.375 -27.02 -5.061 -7.049 0.9941 -9.038 9.941 -4.067 -17.08 5.965 -4.067 -17.08 -22.05 -8.043 -21.06 0.9941 -26.03
0.38 -37.05 -17.08 -15 -13.01 -9.038 -13.01 -11.03 -33.08 -2.079 -17.08 -15 -35.07 -3.073 -35.07 0.9941 -35.07
0.385 -39.04 -18.08 -18.08 -22.05 -7.049 -33.08 -13.01 -38.05 -2.079 -23.05 -8.043 -38.05 -3.073 -41.03 -1.085 -38.05
0.39 -27.02 -14.01 -21.06 -21.06 -11.03 -40.04 -20.06 -32.08 -4.067 -21.06 1.988 -34.07 -7.049 -37.05 -1.085 -33.08
0.395 -11.03 -1.085 -21.06 -13.01 -23.05 -35.07 -25.03 -21.06 -5.061 -11.03 7.953 -25.03 -21.06 -27.02 0.9941 -19.07
0.4 -1.085 7.953 -17.08 0 -33.08 -19.07 -28.02 -10.03 -2.079 -5.061 12.92 -16.09 -36.06 -15 -1.085 -7.049
0.405 10.94 16 -12.02 2.982 -40.04 -3.073 -30 -7.049 -5.061 -5.061 9.941 -16.09 -42.02 -9.038 -9.038 -1.085
0.41 12.92 13.92 -3.073 5.965 -33.08 -2.079 -27.02 -11.03 -9.038 -11.03 5.965 -21.06 -43.02 -9.038 -15 -3.073
0.415 12.92 7.953 2.982 4.971 -17.08 0 -15 -15 -11.03 -15 0 -25.03 -34.07 -11.03 -23.05 -5.061
0.42 10.94 1.988 12.92 2.982 0 -8.043 -3.073 -17.08 -9.038 -13.01 -1.085 -27.02 -24.04 -13.01 -29.01 -7.049
0.425 6.959 -2.079 9.941 1.988 13.92 -15 1.988 -9.038 -7.049 -3.073 -9.038 -27.02 -17.08 -13.01 -31.09 -5.061
0.43 0.9941 0.9941 1.988 0 14.91 -18.08 5.965 -3.073 -3.073 5.965 -19.07 -29.01 -17.08 -15 -33.08 -3.073
0.435 -11.03 -2.079 -19.07 -5.061 -1.085 -22.05 0 -2.079 0.9941 13.92 -31.09 -27.02 -27.02 -17.08 -31.09 -5.061
0.44 -23.05 0.9941 -41.03 -15 -25.03 -25.03 -5.061 -2.079 0.9941 16 -41.03 -27.02 -41.03 -17.08 -29.01 -7.049
0.445 -31.09 -3.073 -55.04 -27.02 -46 -27.02 -13.01 -3.073 -3.073 9.941 -49.07 -25.03 -51.06 -19.07 -21.06 -11.03
0.45 -31.09 -9.038 -59.02 -33.08 -50.07 -29.01 -15 -13.01 -5.061 0 -49.07 -21.06 -51.06 -17.08 -13.01 -15
0.455 -29.01 -13.01 -51.06 -31.09 -39.04 -27.02 -11.03 -21.06 -5.061 -3.073 -43.02 -15 -45.01 -11.03 -11.03 -13.01
0.46 -27.02 -11.03 -39.04 -21.06 -17.08 -21.06 -3.073 -23.05 -5.061 -7.049 -35.07 -11.03 -33.08 -5.061 -17.08 -7.049
0.465 -29.01 -7.049 -31.09 -11.03 0 -9.038 0 -19.07 -3.073 -7.049 -29.01 -5.061 -21.06 -2.079 -29.01 -1.085
0.47 -31.09 -3.073 -27.02 -5.061 5.965 0.9941 5.965 -13.01 -5.061 -9.038 -25.03 0.9941 -13.01 1.988 -35.07 0
0.475 -35.07 -5.061 -31.09 -7.049 1.988 1.988 7.953 -5.061 -9.038 -13.01 -23.05 -2.079 -13.01 1.988 -31.09 0
0.48 -35.07 -9.038 -33.08 -15 -5.061 3.977 7.953 -1.085 -15 -19.07 -19.07 -2.079 -15 0 -15 0.9941
0.485 -33.08 -17.08 -31.09 -19.07 -11.03 1.988 7.953 -1.085 -21.06 -25.03 -13.01 -1.085 -17.08 0.9941 0 -5.061
0.49 -27.02 -21.06 -23.05 -17.08 -11.03 0 3.977 -5.061 -21.06 -27.02 -9.038 -7.049 -15 -5.061 11.93 -11.03
0.495 -23.05 -21.06 -13.01 -9.038 -3.073 0.9941 1.988 -11.03 -17.08 -27.02 -5.061 -13.01 -15 -13.01 16 -17.08
0.5 -23.05 -21.06 -9.038 -7.049 -1.085 -3.073 0 -19.07 -9.038 -27.02 -9.038 -19.07 -15 -23.05 7.953 -23.05
0.505 -29.01 -25.03 -15 -13.01 -9.038 -13.01 -2.079 -25.03 -3.073 -25.03 -17.08 -31.09 -21.06 -33.08 -2.079 -27.02
0.51 -41.03 -35.07 -27.02 -29.01 -25.03 -25.03 -1.085 -29.01 0.9941 -23.05 -27.02 -43.02 -27.02 -41.03 -5.061 -33.08
0.515 -51.06 -51.06 -39.04 -47.09 -38.05 -35.07 -3.073 -27.02 -1.085 -19.07 -35.07 -55.04 -27.02 -45.01 -11.03 -35.07
0.52 -53.05 -61 -39.04 -53.05 -43.02 -39.04 -3.073 -21.06 -3.073 -13.01 -35.07 -59.02 -19.07 -45.01 -13.01 -37.05
0.525 -45.01 -60.01 -26.03 -43.02 -32.08 -31.09 -1.085 -13.01 -7.049 -9.038 -27.02 -52.06 -5.061 -40.04 -13.01 -34.07
0.53 -31.09 -46 -6.055 -21.06 -18.08 -19.07 0.9941 -5.061 -11.03 -9.038 -17.08 -34.07 3.977 -32.08 -9.038 -30
0.535 -15 -27.02 5.965 -1.085 -5.061 -9.038 0.9941 -5.061 -13.01 -13.01 -7.049 -17.08 11.93 -27.02 -3.073 -25.03
0.54 -1.085 -10.03 12.92 8.947 -1.085 -7.049 -1.085 -9.038 -13.01 -18.08 -5.061 -2.079 7.953 -20.06 -1.085 -20.06
0.545 2.982 0 14.91 10.94 -5.061 -13.01 -5.061 -15 -9.038 -20.06 -7.049 -1.085 -2.079 -14.01 -1.085 -14.01
0.55 -1.085 0.9941 11.93 7.953 -13.01 -17.08 -7.049 -17.08 -5.061 -15 -9.038 1.988 -7.049 -9.038 -3.073 -5.061
0.555 -1.085 0.9941 17.98 8.947 -9.038 -13.01 -5.061 -8.043 -3.073 -4.067 -10.03 7.953 -11.03 1.988 -3.073 3.977
0.56 -1.085 -1.085 25.94 12.92 0 0.9941 0.9941 -1.085 -2.079 0.9941 -8.043 11.93 -9.038 5.965 0.9941 13.92
0.565 -5.061 -3.073 29.91 16 0 17.98 1.988 9.941 -5.061 0 -7.049 9.941 -5.061 7.953 0 13.92
0.57 -9.038 -4.067 31 16 3.977 32.99 2.982 14.91 -6.055 -1.085 -8.043 0.9941 -3.073 5.965 3.977 8.947
0.575 -21.06 -10.03 19.97 5.965 1.988 31 1.988 8.947 -8.043 -13.01 -12.02 -8.043 -5.061 0 -2.079 1.988
0.58 -33.08 -21.06 5.965 -5.061 -5.061 13.92 -5.061 -1.085 -9.038 -23.05 -19.07 -27.02 -9.038 -15 -3.073 -15
0.585 -41.03 -34.07 -2.079 -18.08 -4.067 -1.085 -8.043 -7.049 -4.067 -22.05 -21.06 -38.05 -10.03 -27.02 -13.01 -24.04
0.59 -47.09 -43.02 -10.03 -23.05 0.9941 -7.049 -8.043 -13.01 -1.085 -12.02 -21.06 -41.03 -8.043 -33.08 -11.03 -29.01
0.595 -45.01 -49.07 -15 -25.03 0 -13.01 -5.061 -7.049 -3.073 -1.085 -19.07 -39.04 -3.073 -39.04 -3.073 -29.01
0.6 -37.05 -52.06 -18.08 -20.06 3.977 -12.02 0 -2.079 -4.067 2.982 -17.08 -35.07 0.9941 -36.06 3.977 -20.06
0.605 -31.09 -52.06 -20.06 -16.09 1.988 -10.03 1.988 -1.085 -6.055 2.982 -15 -32.08 1.988 -30 16 -18.08
0.61 -31.09 -50.07 -19.07 -17.08 -2.079 -13.01 0.9941 -3.073 -11.03 1.988 -13.01 -33.08 0.9941 -23.05 16 -17.08
0.615 -35.07 -48.08 -14.01 -22.05 0 -14.01 1.988 -5.061 -10.03 -6.055 -15 -34.07 -4.067 -20.06 7.953 -18.08
0.62 -35.07 -40.04 -6.055 -24.04 3.977 -12.02 1.988 -6.055 -8.043 -10.03 -13.01 -33.08 0.9941 -14.01 -1.085 -20.06
0.625 -33.08 -35.07 -2.079 -23.05 9.941 -9.038 0 -5.061 -3.073 -9.038 -9.038 -25.03 1.988 -13.01 -13.01 -21.06
0.63 -25.03 -29.01 2.982 -17.08 16 0.9941 6.959 -1.085 1.988 -4.067 0.9941 -19.07 12.92 -9.038 -21.06 -19.07
0.635 -13.01 -22.05 2.982 -14.01 16.99 -1.085 8.947 0.9941 8.947 -2.079 0 -22.05 16.99 -15 -17.08 -14.01
0.64 -9.038 -21.06 -3.073 -11.03 13.92 0.9941 7.953 -5.061 7.953 -5.061 -2.079 -33.08 13.92 -19.07 -9.038 -17.08
