    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  Pz 
1.055 713.2 947.7 1055 390.8 810.9 986.8 1085 1241 1739 2012 293.1 351.7 127 762.1 771.9 517.8 527.6 605.8 898.9 898.9
1.06 488.5 674.2 938 332.2 742.6 801.2 977 977 1720 1935 596 234.5 420.1 508.1 801.2 332.2 351.7 644.8 654.6 654.6
1.065 556.9 605.8 928.2 205.2 556.9 635.1 840.3 703.5 1690 1651 361.5 449.4 312.7 508.1 732.8 185.6 351.7 508.1 420.1 420.1
1.07 459.2 517.8 928.2 97.7 429.9 342 605.8 254 1456 1368 302.9 -312.7 234.5 146.6 693.7 19.54 293.1 390.8 39.08 39.08
1.075 908.6 683.9 908.6 -39.08 312.7 -9.77 400.6 -332.2 1221 361.5 537.4 -263.8 302.9 -175.9 586.2 -420.1 293.1 117.2 -488.5 -488.5
1.08 869.6 547.1 1085 -68.39 429.9 -322.4 312.7 -840.3 1036 -332.2 586.2 -655.1 556.9 -322.4 488.5 -791.4 449.4 -29.31 -742.6 -742.6
1.085 918.4 683.9 1085 -9.77 478.7 -390.8 234.5 -996.6 928.2 -879.8 996.6 -459.2 527.6 -58.62 371.3 -987.3 508.1 -127 -977.5 -977.5
1.09 615.5 390.8 1270 117.2 674.2 -254 371.3 -957.5 898.9 -1250 244.3 -244.3 410.4 -9.77 517.8 -996.6 771.9 -78.16 -859.8 -859.8
1.095 674.2 547.1 1163 381 664.4 58.62 332.2 -644.8 742.6 -1045 791.4 -9.77 254 195.4 400.6 -762.1 898.9 117.2 -771.9 -771.9
1.1 957.5 488.5 1358 449.4 889.1 312.7 556.9 -322.4 664.4 -957.5 713.2 244.3 488.5 351.7 654.6 -586.2 1124 361.5 -361.5 -361.5
1.105 1016 586.2 1016 596 723 635.1 469 19.54 429.9 -693.7 674.2 244.3 420.1 390.8 429.9 -342 1124 429.9 -195.4 -195.4
1.11 1456 732.8 615.5 547.1 967.3 781.6 664.4 156.3 449.4 -732.8 1182 547.1 820.7 576.5 527.6 -342 1495 400.6 351.7 351.7
