    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
0.91 107.5 -703.5 97.7 146.6 -68.39 -29.31 78.16 -39.08 322.4 596 68.39 78.16 146.6 312.7 -58.62 127 -244.3 -146.6 410.4
0.915 97.7 -127 146.6 527.6 -39.08 429.9 342 381 566.7 1221 263.8 478.7 781.6 410.4 791.4 498.3 -117.2 273.6 605.8
0.92 -136.8 9.77 -205.2 674.2 -351.7 498.3 -29.31 390.8 195.4 1065 -498.3 703.5 107.5 429.9 -214.9 478.7 -361.5 342 175.9
0.925 -166.1 48.85 19.54 889.1 -117.2 683.9 224.7 566.7 488.5 1299 58.62 840.3 195.4 586.2 29.31 576.5 29.31 498.3 469
0.93 127 0 166.1 928.2 87.93 683.9 312.7 537.4 469 986.8 117.2 986.8 459.2 390.8 -39.08 361.5 156.3 517.8 527.6
0.935 0 -78.16 429.9 1085 439.7 830.5 576.5 732.8 713.2 1153 429.9 1124 322.4 488.5 107.5 537.4 459.2 693.7 703.5
0.94 429.9 -19.54 840.3 1026 918.4 840.3 928.2 742.6 1026 1124 918.4 1094 889.1 410.4 420.1 576.5 859.8 889.1 1045
0.945 214.9 117.2 889.1 1045 947.7 1055 967.3 947.7 1055 1475 1055 1172 908.6 723 332.2 801.2 810.9 967.3 1026
0.95 224.7 -19.54 850 898.9 1026 1016 1016 908.6 1163 1553 576.5 1133 214.9 459.2 371.3 762.1 889.1 859.8 1085
0.955 87.93 371.3 664.4 967.3 781.6 1231 898.9 1026 1026 1612 351.7 1094 117.2 625.3 283.3 820.7 781.6 859.8 1016
0.96 -78.16 -58.62 420.1 498.3 420.1 713.2 449.4 566.7 566.7 1163 -517.8 693.7 -342 263.8 48.85 390.8 420.1 713.2 547.1
0.965 302.9 214.9 586.2 723 508.1 908.6 566.7 605.8 566.7 1085 -254 820.7 87.93 400.6 781.6 488.5 615.5 713.2 576.5
0.97 87.93 127 449.4 517.8 312.7 703.5 234.5 361.5 166.1 938 -381 508.1 -527.6 127 -674.6 400.6 537.4 605.8 351.7
0.975 420.1 175.9 713.2 654.6 644.8 771.9 459.2 439.7 214.9 986.8 -146.6 840.3 19.54 625.3 -48.85 664.4 742.6 820.7 439.7
0.98 97.7 400.6 459.2 869.6 420.1 908.6 195.4 596 -97.7 1251 -136.8 1016 -312.7 469 -908.6 889.1 576.5 1016 244.3
0.985 322.4 312.7 654.6 869.6 625.3 898.9 390.8 547.1 19.54 1104 175.9 996.6 -19.54 615.5 -390.8 908.6 781.6 938 302.9
0.99 234.5 420.1 224.7 830.5 214.9 898.9 29.31 478.7 -254 1133 273.6 762.1 -146.6 361.5 -449.4 908.6 400.6 840.3 -97.7
0.995 263.8 488.5 107.5 791.4 156.3 898.9 0 439.7 -39.08 1143 273.6 635.1 -117.2 635.1 -254 918.4 371.3 644.8 -107.5
1 127 390.8 -97.7 566.7 0 732.8 -117.2 312.7 -48.85 918.4 322.4 273.6 48.85 312.7 -361.5 576.5 224.7 439.7 -254
1.005 371.3 244.3 302.9 498.3 273.6 596 87.93 175.9 273.6 908.6 635.1 29.31 361.5 224.7 87.93 459.2 361.5 234.5 -97.7
1.01 -146.6 117.2 -283.3 195.4 -224.7 410.4 -205.2 117.2 107.5 918.4 58.62 48.85 68.39 263.8 -224.7 351.7 -29.31 -39.08 -283.3
1.015 48.85 -48.85 19.54 48.85 29.31 244.3 -68.39 0 136.8 771.9 283.3 19.54 254 87.93 273.6 283.3 -29.31 -107.5 -234.5
1.02 -48.85 -117.2 -342 -29.31 -342 293.1 -302.9 78.16 -87.93 1075 -332.2 -68.39 -1495 -9.77 -127 371.3 -361.5 -136.8 -361.5
1.025 -175.9 -117.2 -342 -146.6 -342 29.31 -381 -224.7 -263.8 674.2 -127 214.9 -644.8 78.16 87.93 283.3 -488.5 -283.3 -478.7
1.03 19.54 -117.2 -273.6 -58.62 -283.3 127 -351.7 -224.7 -390.8 644.8 -146.6 -87.93 -957.5 -342 -556.9 214.9 -371.3 -322.4 -547.6
1.035 -263.8 -136.8 97.7 19.54 29.31 39.08 -107.5 -429.9 -244.3 263.8 -78.16 -117.2 -517.8 156.3 58.62 117.2 -136.8 -244.3 -420.1
1.04 -410.4 -273.6 -9.77 29.31 0 39.08 -205.2 -459.2 -302.9 97.7 -58.62 -234.5 195.4 -146.6 -263.8 19.54 -146.6 -87.93 -508.1
1.045 -312.7 -342 107.5 9.77 97.7 -48.85 -127 -527.6 -195.4 29.31 -19.54 -429.9 78.16 -107.5 -371.3 58.62 117.2 -146.6 -381
1.05 -58.62 -205.2 234.5 -9.77 263.8 -136.8 58.62 -527.6 58.62 78.16 146.6 -254 293.1 -68.39 48.85 87.93 371.3 -166.1 -166.1
1.055 117.2 -224.7 244.3 -117.2 283.3 -234.5 146.6 -420.1 78.16 97.7 254 -166.1 117.2 -263.8 -19.54 195.4 459.2 -263.8 -48.85
1.06 429.9 -205.2 283.3 -87.93 342 -205.2 263.8 -400.6 234.5 146.6 302.9 -146.6 224.7 -117.2 68.39 107.5 469 -293.1 205.2
1.065 244.3 29.31 156.3 9.77 312.7 -39.08 273.6 -175.9 78.16 78.16 273.6 224.7 -234.5 293.1 78.16 205.2 449.4 -175.9 146.6
1.07 117.2 -58.62 244.3 -9.77 381 -68.39 263.8 -224.7 175.9 -78.16 -371.3 -9.77 -908.6 136.8 68.39 107.5 449.4 -332.2 205.2
1.075 322.4 283.3 410.4 263.8 566.7 214.9 449.4 48.85 342 214.9 107.5 283.3 -478.7 469 156.3 322.4 605.8 9.77 381
1.08 87.93 332.2 -29.31 97.7 78.16 9.77 107.5 -78.16 107.5 117.2 -508.1 9.77 -1143 29.31 -205.2 136.8 234.5 9.77 68.39
1.085 244.3 488.5 78.16 361.5 127 273.6 136.8 78.16 214.9 234.5 -166.1 244.3 -898.9 224.7 -283.3 283.3 312.7 244.3 58.62
1.09 146.6 537.4 -29.31 381 -48.85 224.7 19.54 0 293.1 312.7 -332.2 234.5 -322.4 78.16 58.62 185.6 263.8 224.7 -48.85
1.095 -273.6 556.9 -371.3 469 -224.7 381 -185.6 39.08 146.6 156.3 -342 615.5 -478.7 361.5 -605.8 244.3 68.39 205.2 -254
1.1 -175.9 596 -97.7 469 48.85 254 48.85 -9.77 205.2 97.7 -214.9 420.1 -166.1 351.7 58.62 117.2 254 195.4 -127
1.105 -537.4 508.1 -156.3 547.1 205.2 224.7 166.1 107.5 214.9 302.9 9.77 371.3 48.85 351.7 -87.93 224.7 351.7 175.9 -19.54
1.11 -195.4 527.6 -175.9 342 175.9 68.39 68.39 58.62 -117.2 68.39 58.62 97.7 -29.31 146.6 -273.6 39.08 254 136.8 -68.39
1.115 146.6 605.8 -48.85 449.4 342 48.85 283.3 195.4 -19.54 322.4 263.8 175.9 390.8 136.8 107.5 48.85 361.5 254 68.39
1.12 -175.9 908.6 -166.1 478.7 -9.77 214.9 -97.7 273.6 -556.9 87.93 -9.77 371.3 -39.08 254 -185.6 9.77 127 410.4 -302.9
1.125 -78.16 723 -439.7 342 -322.4 68.39 -254 166.1 -635.6 127 -791.4 508.1 -791.4 136.8 -146.6 -175.9 -39.08 127 -459.2
1.13 -361.5 459.2 -693.7 29.31 -576.5 -224.7 -566.7 -166.1 -869.6 -332.2 -537.4 400.6 -791.4 -244.3 -302.9 -429.9 -234.5 -214.9 -752.3
1.135 -498.3 400.6 -830.5 -107.5 -723 -332.2 -732.8 -312.7 -987.3 -371.3 -429.9 381 -889.1 -107.5 -332.2 -390.8 -371.3 -371.3 -850
1.14 -556.9 361.5 -1114 -127 -908.6 -478.7 -908.6 -469 -1075 -429.9 -1094 224.7 -967.8 -87.93 -742.6 -283.3 -703.5 -390.8 -1045
1.145 -381 469 -1025 58.62 -820.7 -390.8 -889.1 -449.4 -1172 -537.4 -234.5 185.6 -947.7 0 -820.7 -175.9 -674.6 -293.1 -1055
