    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
1.005 -39.08 127 244.3 224.7 -459.2 -48.85 -420.1 117.2 -683.9 -58.62 -449.4 -469 -166.1 0 -527.6 -195.4 -185.6 -107.5 -273.6 -166.1
1.01 390.8 674.2 859.8 820.7 107.5 420.1 185.6 517.8 -107.5 508.1 146.6 -48.85 9.77 410.4 127 205.2 342 449.4 302.9 -127
1.015 39.08 302.9 566.7 459.2 -205.2 9.77 -244.3 29.31 -586.2 -97.7 -273.6 -381 -58.62 107.5 -371.3 -322.4 19.54 68.39 -224.7 -146.6
1.02 293.1 469 986.8 752.3 185.6 283.3 205.2 332.2 -29.31 439.7 127 -205.2 -48.85 410.4 117.2 87.93 351.7 410.4 302.9 -68.39
1.025 -156.3 -234.5 547.1 224.7 -224.7 -185.6 -78.16 -185.6 -439.7 -78.16 -361.5 -615.5 -576.5 68.39 -78.16 -410.4 -156.3 -87.93 -146.6 -97.7
1.03 58.62 -78.16 801.2 175.9 48.85 -136.8 224.7 -39.08 9.77 195.4 29.31 -429.9 -127 332.2 205.2 -39.08 58.62 68.39 205.2 -68.39
1.035 -420.1 -390.8 244.3 -254 -527.6 -547.6 -342 -556.9 -586.2 -312.7 -527.6 -879.8 -605.8 205.2 -322.4 -449.4 -537.4 -449.4 -429.9 -214.9
1.04 -156.3 -185.6 566.7 -263.8 -214.9 -459.2 0 -449.4 -156.3 -127 -87.93 -400.6 -302.9 371.3 -29.31 -117.2 -322.4 -332.2 0 0
1.045 -586.2 -361.5 78.16 -498.3 -840.3 -723 -703.5 -752.3 -771.9 -390.8 -693.7 -732.8 -830.5 117.2 -801.2 -605.8 -928.2 -655.1 -703.5 -302.9
1.05 -205.2 -175.9 556.9 -390.8 -322.4 -508.1 -214.9 -517.8 -214.9 -156.3 -156.3 -547.6 -127 -29.31 -263.8 -302.9 -517.8 -302.9 -117.2 -146.6
1.055 -537.4 -342 136.8 -713.2 -820.7 -683.9 -723 -703.5 -732.8 -488.5 -644.8 -840.3 -987.3 -273.6 -752.3 -732.8 -889.1 -537.4 -556.9 -312.7
1.06 -185.6 -263.8 713.2 -449.4 -273.6 -302.9 -136.8 -234.5 -68.39 -19.54 -175.9 -586.2 -185.6 -107.5 -107.5 -146.6 -351.7 -78.16 117.2 -78.16
1.065 -517.8 -586.2 361.5 -664.4 -586.2 -449.4 -439.7 -381 -527.6 -342 -576.5 -742.6 -655.1 -273.6 -508.1 -420.1 -566.7 -283.3 -244.3 -87.93
1.07 -283.3 -498.3 752.3 -342 -127 -29.31 -39.08 127 -58.62 312.7 -205.2 -537.4 -312.7 48.85 0 205.2 -195.4 244.3 224.7 -224.7
1.075 -615.5 -752.3 381 -381 -420.1 -78.16 -439.7 29.31 -586.2 9.77 -693.7 -693.7 -547.6 136.8 -586.2 29.31 -439.7 48.85 -254 -283.3
1.08 -332.2 -420.1 771.9 9.77 -19.54 371.3 -97.7 527.6 -195.4 615.5 -283.3 -439.7 -29.31 410.4 -156.3 361.5 -68.39 508.1 166.1 -390.8
1.085 -566.7 -429.9 459.2 -117.2 -420.1 175.9 -576.5 293.1 -713.2 214.9 -703.5 -615.5 -693.7 263.8 -732.8 107.5 -302.9 195.4 -244.3 -381
1.09 9.77 78.16 938 234.5 117.2 517.8 -146.6 703.5 -166.1 615.5 -136.8 -224.7 -195.4 381 -234.5 244.3 175.9 664.4 302.9 -342
1.095 -205.2 19.54 527.6 19.54 -224.7 214.9 -439.7 371.3 -537.4 244.3 -566.7 -547.6 -752.3 234.5 -527.6 -19.54 -78.16 381 -68.39 -312.7
1.1 127 117.2 820.7 263.8 195.4 420.1 -97.7 615.5 -136.8 576.5 -97.7 -322.4 -58.62 351.7 -127 195.4 205.2 703.5 371.3 -302.9
1.105 -214.9 -195.4 214.9 68.39 -224.7 127 -361.5 322.4 -644.8 244.3 -605.8 -537.4 -840.3 244.3 -478.7 -9.77 -136.8 332.2 -127 -322.4
1.11 9.77 -117.2 556.9 185.6 97.7 195.4 -48.85 371.3 -195.4 449.4 -87.93 -244.3 -224.7 449.4 -87.93 117.2 156.3 498.3 263.8 -214.9
1.115 -302.9 -527.6 78.16 -156.3 -332.2 -185.6 -410.4 -78.16 -655.1 -78.16 -547.6 -312.7 -713.2 146.6 -498.3 -332.2 -214.9 -29.31 -214.9 -175.9
1.12 146.6 68.39 586.2 78.16 107.5 97.7 97.7 107.5 -9.77 166.1 39.08 -68.39 -293.1 175.9 87.93 146.6 283.3 224.7 351.7 68.39
1.125 -117.2 -205.2 234.5 29.31 -127 -29.31 -97.7 -234.5 -146.6 -48.85 -342 -195.4 -469 166.1 -156.3 -371.3 29.31 9.77 68.39 0
1.13 214.9 312.7 410.4 234.5 127 342 254 166.1 332.2 410.4 87.93 156.3 -185.6 381 293.1 0 224.7 429.9 508.1 -166.1
1.135 -166.1 -9.77 -107.5 185.6 -273.6 146.6 -117.2 -117.2 -48.85 127 -429.9 -302.9 -693.7 273.6 -175.9 -351.7 -224.7 244.3 0 -420.1
1.14 97.7 635.1 78.16 556.9 -19.54 537.4 263.8 283.3 469 674.2 -48.85 361.5 -302.9 723 371.3 87.93 78.16 625.3 498.3 -420.1
1.145 -224.7 302.9 -459.2 127 -449.4 78.16 -224.7 -244.3 -87.93 -9.77 -576.5 -39.08 -625.3 439.7 -175.9 -351.7 -322.4 48.85 -48.85 -293.1
1.15 58.62 713.2 -156.3 400.6 -29.31 469 263.8 244.3 527.6 547.1 -166.1 429.9 -195.4 771.9 469 244.3 68.39 459.2 576.5 -244.3
1.155 -97.7 146.6 -498.3 -87.93 -371.3 78.16 -136.8 -166.1 29.31 -58.62 -576.5 48.85 -478.7 713.2 -97.7 -78.16 -244.3 -58.62 214.9 -29.31
1.16 136.8 273.6 -214.9 68.39 -19.54 410.4 234.5 244.3 556.9 371.3 -322.4 361.5 -205.2 664.4 342 156.3 0 234.5 752.3 -19.54
1.165 -29.31 -185.6 -478.7 -263.8 -302.9 127 -175.9 0 117.2 -68.39 -459.2 -214.9 -410.4 566.7 -175.9 -195.4 -244.3 -146.6 342 68.39
