    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.435 -0.6292 3.461 4.539 3.775 1.124 -0.1348 10.65 7.64 1.849 2.157 1.978 -0.4299 0.5159 1.348 3.685 4.315
0.44 2.157 6.697 7.326 6.562 1.213 2.022 14.2 9.843 4.342 0.8989 0.2579 -0.9458 -1.376 0.6292 -2.067 0.809
0.445 3.146 8.539 6.562 6.292 -0.6292 1.438 12.45 9.393 5.073 -2.697 -3.353 -2.923 -4.901 -1.888 -8.539 -4.764
0.45 3.056 10.34 3.551 3.73 -3.281 -1.079 7.281 7.371 4.084 -6.921 -7.136 -4.901 -7.566 -4.225 -12.49 -9.079
0.455 2.517 10.97 0.4944 0.9888 -4.899 -3.461 2.247 4.449 2.278 -9.528 -9.114 -5.417 -7.48 -4.584 -12.58 -9.618
0.46 1.798 9.258 -0.9438 -0.3146 -4.584 -4.045 0.08989 2.067 0.3439 -9.348 -8.34 -4.557 -4.901 -2.966 -10.07 -6.652
0.465 1.438 6.517 -0.9888 -0.5393 -2.652 -2.517 1.079 1.663 -1.591 -6.742 -5.417 -2.751 -2.064 -1.258 -7.101 -2.966
0.47 1.438 4.27 -0.8539 -1.169 -0.08989 0.1798 3.596 2.202 -3.869 -2.966 -1.634 -0.6019 -0.6019 -0.809 -4.764 -0.4494
0.475 1.528 1.978 -1.528 -3.011 2.247 3.191 6.067 1.124 -6.062 0.9888 1.72 2.149 -0.3439 -1.169 -2.157 1.079
0.48 2.067 0.1348 -2.382 -4.944 4 5.753 7.73 -1.663 -7.05 4.135 4.213 5.847 0.172 -1.169 1.888 3.236
0.485 3.775 1.169 -1.708 -4.989 4.989 7.685 8.584 -3.506 -5.804 6.022 5.589 9.802 1.548 0 7.281 6.382
0.49 6.292 5.573 0.9438 -2.022 5.438 8.944 8.764 -2.697 -2.622 6.652 6.019 12.12 2.665 1.528 11.69 9.258
0.495 8 9.708 4.27 2.562 5.933 9.753 8.36 -0.3146 0.8598 6.112 5.503 11.18 1.892 1.798 12.58 9.348
0.5 8 10.65 6.427 6.022 6.607 10.16 7.191 2.337 2.622 4.944 4.385 7.222 -1.118 -0.2697 9.528 5.753
0.505 7.191 9.573 6.607 6.292 7.371 10.34 5.483 5.079 1.763 3.955 3.181 2.493 -4.901 -3.596 4.764 0.1798
0.51 6.742 8.584 5.169 3.551 8 10.38 3.775 6.921 -0.7308 3.865 2.923 0.08598 -6.277 -5.573 1.618 -3.775
0.515 6.472 7.056 2.921 -0.1798 8.27 10.38 2.427 6.112 -2.837 5.213 4.557 1.462 -3.095 -3.775 1.978 -3.416
0.52 5.573 3.955 0.3596 -3.146 7.865 9.933 1.124 2.697 -3.009 7.551 7.652 5.073 3.869 1.438 4.944 0.5393
0.525 3.506 0.1798 -2.382 -4.989 6.472 8.225 -0.9438 -1.528 -1.505 9.528 10.4 7.91 11.18 7.101 7.64 4.764
0.53 0 -3.326 -5.438 -6.427 4.27 4.944 -4.315 -5.303 0.2579 9.618 10.75 7.394 15.22 10.07 7.461 5.933
0.535 -4.135 -7.506 -8.27 -7.73 1.798 0.4494 -8.09 -8.494 1.118 7.011 7.394 3.439 14.36 8.629 4.135 3.236
0.54 -7.281 -11.96 -9.663 -8.045 -0.5393 -4.135 -10.88 -9.933 0.6448 2.427 1.376 -2.149 9.114 3.596 -0.7191 -1.888
0.545 -7.64 -13.75 -8.584 -6.472 -2.427 -7.73 -11.78 -8.27 -0.7738 -2.337 -4.815 -6.964 1.462 -3.416 -4.584 -7.011
0.55 -5.124 -11.6 -5.753 -3.506 -3.551 -9.213 -10.97 -4.674 -2.923 -5.124 -8.168 -9.716 -6.362 -10.07 -5.843 -10.25
0.555 -1.618 -7.955 -3.056 -1.034 -3.551 -8.09 -8.944 -2.607 -5.417 -4.674 -7.394 -10.49 -12.3 -14.65 -4.494 -11.15
0.56 0.9888 -5.348 -1.663 -0.6742 -2.472 -4.809 -6.427 -3.191 -7.91 -1.708 -3.439 -10.15 -15.13 -16.09 -2.157 -9.978
0.565 2.607 -2.921 -1.034 -2.247 -0.8989 -0.8989 -3.82 -4.18 -9.415 1.258 0.6878 -9.114 -14.36 -14.29 -0.4494 -7.73
0.57 3.416 0.08989 -0.1348 -3.955 0.2247 1.843 -1.393 -3.596 -8.813 2.247 2.579 -7.91 -11.01 -10.16 -0.5393 -4.944
0.575 3.056 1.888 1.124 -3.91 0.5393 2.202 -0.04494 -1.978 -5.804 0.7191 1.72 -6.706 -6.62 -4.944 -2.517 -2.157
0.58 1.079 0.4944 1.978 -1.798 -0.1348 0 -0.9888 -0.5843 -1.419 -1.888 -0.7738 -5.933 -3.611 -0.8989 -5.303 -0.2697
0.585 -2.157 -2.697 1.438 0.6742 -1.438 -3.82 -4.809 -0.2247 2.235 -3.685 -3.095 -5.847 -3.267 0.2697 -7.551 0.1798
0.59 -5.753 -5.618 -0.5843 1.753 -2.742 -7.596 -9.843 -1.483 3.525 -3.685 -4.299 -6.362 -5.073 -0.8989 -8.27 -0.1798
0.595 -8.36 -7.775 -3.011 1.169 -3.416 -9.663 -12.85 -4.36 2.536 -2.337 -4.815 -6.448 -6.706 -2.607 -7.371 -0.5393
0.6 -8.27 -8.404 -3.73 0.4045 -3.685 -9.618 -11.33 -6.562 0.6448 -1.618 -5.761 -5.503 -6.019 -3.056 -5.663 -0.2697
0.605 -4.494 -5.169 -1.618 0.8989 -4.045 -8 -5.348 -5.348 -0.6019 -3.056 -7.566 -3.267 -3.095 -1.888 -3.955 -0.08989
0.61 1.528 1.528 2.067 2.427 -4.719 -5.708 1.843 -1.393 -0.7738 -6.022 -9.372 -0.4299 0.172 0 -2.876 -0.809
0.615 6.292 7.236 4.719 3.416 -5.348 -3.416 6.247 1.124 -0.4299 -8.539 -9.63 1.806 2.064 1.258 -2.157 -2.697
0.62 6.921 7.82 4.27 2.112 -5.393 -1.483 5.258 0 -0.5159 -8.629 -7.222 3.095 1.634 1.169 -1.618 -4.854
0.625 3.236 3.82 0.6292 -1.618 -4.764 -0.2247 -0.3596 -3.461 -1.333 -6.202 -2.923 3.353 -0.3439 0.1798 -0.9888 -6.022
0.63 -2.697 -2.022 -4.494 -6.472 -3.865 0 -7.416 -6.966 -2.278 -2.787 1.376 3.009 -2.235 -0.6292 -0.6292 -5.483
0.635 -8.27 -8.09 -9.348 -10.2 -3.281 -0.809 -12.22 -9.618 -2.407 -0.3596 4.041 2.321 -2.665 -0.4494 -1.079 -3.596
0.64 -10.88 -12.31 -12 -11.15 -3.191 -1.978 -12.9 -10.47 -1.333 0.08989 4.299 1.376 -1.892 0.4494 -2.157 -2.157
0.645 -9.169 -11.37 -11.55 -9.124 -3.416 -2.742 -9.978 -8.719 0.2149 -1.169 2.321 0.3439 -1.032 1.258 -3.596 -2.876
0.65 -4.225 -4.719 -8.404 -5.348 -3.371 -2.427 -5.483 -5.124 1.419 -2.876 -0.6019 -0.6878 -0.8598 1.528 -4.584 -5.483
0.655 1.169 3.146 -4.315 -1.708 -2.697 -1.124 -1.438 -2.112 1.548 -3.775 -3.353 -1.548 -0.8598 1.528 -4.854 -8.18
0.66 4.494 7.371 -1.079 0.08989 -1.888 -0.08989 0.4494 -0.7191 0.6019 -3.955 -5.331 -2.149 -0.172 1.978 -4.584 -8.629
0.665 4.944 7.191 -0.04494 -0.6742 -1.663 -0.4045 -0.4494 -0.1348 -0.9458 -3.865 -6.62 -2.235 1.462 2.876 -3.865 -5.933
0.67 3.236 4 -1.258 -3.596 -2.382 -2.112 -3.82 -0.1348 -2.407 -3.955 -6.706 -1.204 3.525 3.955 -2.517 -0.5393
0.675 0.2697 -1.124 -3.506 -6.607 -3.056 -3.596 -7.91 -1.393 -2.751 -3.416 -5.159 1.29 5.245 4.854 -0.1798 5.483
0.68 -2.067 -6.022 -4.494 -7.236 -2.382 -2.742 -10.11 -2.427 -1.419 -1.708 -1.634 5.331 6.105 5.393 3.236 10.34
0.685 -1.888 -6.652 -2.292 -4.18 0.3146 1.303 -8.404 -0.3146 1.505 1.258 3.353 10.06 5.761 5.213 7.011 12.4
0.69 1.348 -1.663 2.966 1.888 4.404 7.416 -2.472 5.438 5.288 4.674 8.426 13.5 4.729 4.494 9.618 11.78
0.695 6.112 5.124 9.348 8.674 8.27 12.85 5.618 11.91 8.512 7.371 11.95 13.58 3.525 3.596 9.708 9.079
0.7 9.798 9.258 14.2 13.48 9.978 14.83 12.22 15.87 10.06 8.36 12.55 9.802 1.978 2.427 7.551 5.483
0.705 10.61 9.753 16.04 14.83 8.764 12.13 14.02 16.4 9.243 7.551 10.23 3.611 0.2579 0.7191 4.584 2.067
