    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.275 -8 -9.079 -11.91 -10.11 -2.787 -6.067 -16.85 -12.45 -10.02 4.045 0.3439 -1.978 1.079 10.16 2.787
0.28 -4.944 -5.393 -12.94 -12.58 -2.067 -4.944 -18.43 -14.74 -12.94 2.517 -0.4299 -4.815 0 7.461 -0.809
0.285 -1.438 -2.022 -13.93 -13.84 -2.742 -4.899 -17.75 -15.37 -14.01 -0.3596 -3.181 -6.362 -0.5393 3.146 -4.404
0.29 0.809 -0.08989 -14.74 -13.44 -3.91 -5.124 -15.06 -13.98 -12.77 -3.596 -5.847 -6.105 0 -1.169 -6.202
0.295 1.528 0.4494 -14.43 -11.37 -4.315 -4.584 -11.1 -10.74 -9.759 -5.753 -6.534 -3.869 2.067 -3.416 -5.213
0.3 1.079 0.4045 -12.27 -8.18 -3.506 -3.011 -7.011 -6.966 -6.234 -6.022 -4.471 -0.6878 5.124 -2.876 -1.978
0.305 0.4494 0.2697 -8.944 -5.348 -1.798 -1.258 -4.539 -5.034 -3.869 -4.764 -1.118 1.29 7.101 -0.7191 0.809
0.31 0.4494 -0.1348 -6.382 -4.135 -0.2247 -0.3596 -4.899 -6.382 -3.697 -3.416 1.462 0.8598 6.831 0.5393 0.9888
0.315 0.6292 -1.303 -5.573 -4.539 0 -1.124 -7.056 -9.663 -5.202 -2.966 1.634 -1.376 4.404 -0.2697 -0.809
0.32 0.1798 -3.146 -5.843 -5.213 -1.213 -3.056 -8.449 -11.73 -6.749 -3.146 -0.172 -3.869 1.438 -3.056 -2.876
0.325 -0.9888 -4.899 -5.888 -5.213 -2.517 -4.719 -7.011 -10.61 -7.351 -2.697 -2.235 -5.245 -0.8989 -5.843 -3.865
0.33 -2.067 -5.573 -4.854 -4.494 -2.427 -4.719 -2.742 -6.697 -6.878 -0.6292 -2.751 -5.503 -2.337 -7.011 -3.685
0.335 -1.888 -4.404 -2.607 -3.416 -0.5393 -2.787 2.966 -1.618 -5.589 2.157 -1.462 -4.471 -2.697 -6.112 -2.787
