    T[sec] F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.305 11.6 2.292 3.82 1.978 2.337 0.8539 1.843 -0.8793 -5.933 -9.057 -7.211 -1.847 -1.169 -28.22 -24.81
0.31 12.49 8.809 8.629 0.7191 3.191 5.169 6.472 2.99 -3.91 -8.178 -4.924 1.935 1.169 -29.3 -23.55
0.315 10.07 13.03 10.65 0.5393 3.506 7.64 8.09 6.639 -3.865 -7.562 -4.045 2.814 1.348 -28.49 -20.49
0.32 6.202 13.62 11.1 1.483 3.371 9.438 8.584 8.442 -6.652 -7.386 -2.726 4.573 2.697 -24 -11.78
0.325 3.146 10.74 11.33 3.281 3.64 11.19 9.393 8.574 -8.315 -5.452 1.671 9.849 7.73 -14.74 3.056
0.33 2.427 6.292 11.01 4.899 4.764 12.67 11.15 7.518 -4.899 0 9.233 17.06 15.01 -2.337 19.51
0.335 3.416 3.011 9.124 4.854 5.708 12.76 12.58 5.672 3.685 7.562 16.44 22.07 20.13 8.629 30.65
0.34 4.135 2.382 6.742 3.326 5.213 10.52 12.09 3.034 13.35 13.45 19.7 21.02 19.51 13.84 32.18
0.345 2.966 3.596 5.618 1.528 3.596 6.247 8.944 0 18.16 14.42 17.5 14.07 13.03 12.85 24.81
0.35 -0.4494 4.045 5.483 0.1348 1.618 0.8989 3.236 -3.473 14.97 10.2 11.43 3.957 3.236 8 12.94
0.355 -5.213 0.8539 4.674 -1.528 -0.5843 -4.899 -3.551 -6.771 4.809 2.462 4.133 -5.628 -6.652 2.607 1.258
0.36 -8.899 -5.169 2.067 -3.281 -2.876 -9.753 -9.438 -8.134 -6.966 -5.628 -2.022 -12.4 -14.11 -0.5393 -7.461
0.365 -8.809 -9.933 -1.124 -4.225 -4.27 -12.36 -11.64 -6.639 -14.47 -11.08 -6.155 -15.74 -17.71 -0.6292 -12.49
0.37 -4.045 -10.29 -4.09 -2.921 -4.27 -12.27 -10.02 -3.122 -14.74 -12.31 -8.793 -16.27 -17.8 1.528 -15.01
0.375 2.157 -6.876 -6.112 -0.2247 -3.82 -11.01 -6.831 -0.2198 -9.258 -10.29 -11.17 -15.56 -15.01 4.315 -15.82
0.38 4.944 -2.876 -6.831 1.528 -4.27 -10.65 -4.899 0.2638 -1.528 -6.947 -13.63 -14.07 -10.61 6.742 -15.28
0.385 1.528 -1.034 -6.742 0.6292 -6.382 -11.46 -5.753 -1.847 5.079 -3.869 -15.12 -12.05 -5.933 8.629 -13.66
0.39 -6.382 -2.427 -7.371 -3.416 -9.708 -12.9 -8.539 -5.32 8.225 -1.935 -15.56 -9.849 -2.607 8.629 -12.58
0.395 -14.47 -5.933 -9.213 -8.315 -12.67 -13.3 -10.92 -8.53 7.371 -1.143 -14.86 -7.65 -1.528 5.213 -13.12
0.4 -17.89 -7.91 -9.663 -9.798 -12.04 -9.933 -10.11 -9.277 5.348 -0.2638 -12.31 -4.924 -1.618 -0.809 -13.66
0.405 -13.84 -5.124 -5.528 -4.764 -4.944 -1.528 -4.045 -6.463 4.719 2.638 -6.507 -0.4397 -0.809 -6.742 -11.69
0.41 -3.596 2.067 2.652 4.944 6.831 10.79 6.067 -1.231 6.112 6.947 1.759 5.54 1.618 -10.16 -6.022
0.415 7.73 10.11 10.79 13.44 17.62 21.84 15.69 3.957 6.876 10.11 9.409 10.9 4.315 -10.79 1.618
0.42 14.83 14.79 15.1 15.78 21.71 26.74 20.49 7.386 4.674 9.321 13.72 13.63 5.303 -8.989 8.719
0.425 15.46 14.56 14.47 12.49 18.47 23.24 19.28 8.749 0.8989 5.892 14.77 13.54 4.494 -4.854 13.75
