    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.375 -5.003 -22.03 26.96 -12.02 22.94 -2.014 -2.014 1.949 32.94 0 36 -22.03 25.99 -18.06 20.99 -3.054
0.38 -5.003 -19.04 21.96 -21.05 11.96 -15.01 0.9746 0 27.94 1.949 37.94 -31.06 19.95 -31.06 18 -9.031
0.385 -7.017 -24.04 11.96 -26.05 -3.054 -31.06 -5.003 -2.014 22.94 3.963 26.96 -42.04 7.992 -39.05 13.97 -9.031
0.39 -11.05 -29.04 -1.04 -23 -22.03 -41.06 -9.031 0 18 2.989 11.96 -48.02 -1.04 -33.01 11.96 -10.01
0.395 -13.06 -31.06 -3.054 -13.06 -35.02 -41.06 -13.06 -1.04 18 3.963 3.963 -41.06 -11.05 -23 5.978 -11.05
0.4 -13.06 -18.06 0 -2.014 -31.06 -27.03 -7.017 -2.014 22.94 7.992 7.992 -14.03 -13.06 -6.043 10.98 -8.057
0.405 -5.003 -1.04 18 13.97 -8.057 -9.031 -2.014 5.978 23.98 9.941 20.99 10.98 -3.054 -1.04 16.96 -2.014
0.41 2.989 11.96 33.98 15.98 18 5.978 7.992 9.941 23.98 9.941 37.94 31.97 7.992 0 23.98 0
0.415 10.98 16.96 44.96 10.98 44.96 18 13.97 12.99 23.98 8.966 46.98 31.97 19.95 0.9746 26.96 4.938
0.42 16.96 4.938 48.99 0.9746 55.94 23.98 15.98 10.98 16.96 8.966 41 15.98 23.98 0.9746 26.96 2.989
0.425 12.99 -9.031 41.97 -3.054 53.99 21.96 15.98 7.992 7.992 1.949 25.99 -1.04 21.96 3.963 19.95 -1.04
0.43 2.989 -21.05 34.96 0 41 21.96 9.941 4.938 2.989 0.9746 10.98 -19.04 11.96 5.978 15.98 -13.06
0.435 -3.054 -25.01 22.94 -1.04 24.95 12.99 3.963 6.952 0.9746 0.9746 3.963 -21.05 -2.014 1.949 13.97 -19.04
0.44 -7.017 -19.04 19.95 1.949 7.992 5.978 -2.014 3.963 1.949 1.949 7.992 -21.05 -7.017 -3.054 18 -17.02
0.445 -7.017 -13.06 21.96 4.938 3.963 0 -1.04 0 4.938 7.992 18 -19.04 -9.031 -13.06 25.99 -5.003
0.45 -3.054 -11.05 21.96 0 1.949 -8.057 -3.054 -2.014 5.978 18 23.98 -17.02 -9.031 -17.02 27.94 3.963
0.455 0.9746 -11.05 21.96 -2.014 -2.014 -11.05 -3.054 -2.014 3.963 25.99 21.96 -15.01 -11.05 -7.017 25.99 18
0.46 -1.04 -7.017 11.96 1.949 0 -3.054 -3.054 0 0 31.97 7.992 -7.017 -17.02 3.963 15.98 27.94
0.465 -1.04 -1.04 1.949 13.97 -4.028 5.978 -3.054 5.978 0.9746 29.95 0.9746 0 -19.04 19.95 5.978 31.97
0.47 -1.04 1.949 -3.054 21.96 -7.017 19.95 -3.054 11.96 -1.04 23.98 -7.017 15.98 -21.05 25.99 0 25.99
0.475 -5.003 9.941 -11.05 21.96 -5.003 27.94 -1.04 15.98 -1.04 15.98 -9.031 21.96 -21.05 19.95 0 13.97
0.48 -11.05 11.96 -15.01 13.97 -3.054 23.98 -2.014 11.96 0.9746 7.992 -7.017 19.95 -17.02 5.978 3.963 1.949
0.485 -15.01 9.941 -15.01 0 0 11.96 3.963 5.978 0 3.963 -7.017 5.978 -11.05 -1.04 9.941 0.9746
0.49 -15.01 5.978 -19.04 -3.054 5.978 0.9746 11.96 -2.014 1.949 1.949 -7.017 -3.054 -7.017 -7.017 15.98 -1.04
0.495 -13.06 3.963 -23 -5.003 2.989 -11.05 13.97 -3.054 1.949 1.949 -11.05 -13.06 -5.003 -3.054 18 0
0.5 -7.017 5.978 -26.05 -1.04 -4.028 -17.02 7.992 -5.003 0 0 -13.06 -15.01 -6.043 -2.014 18 5.978
0.505 -5.003 7.992 -27.03 -2.014 -19.04 -15.01 -1.04 -5.003 0.9746 -2.014 -13.06 -7.017 -11.05 5.978 15.98 9.941
0.51 -7.017 11.96 -24.04 2.989 -25.01 -9.031 -19.04 -3.054 -5.003 -2.014 -13.06 0 -16.05 11.96 11.96 7.992
0.515 -11.05 13.97 -18.06 4.938 -31.06 0.9746 -29.04 -2.014 -9.031 1.949 -15.01 11.96 -22.03 18 5.978 5.978
