    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
0.29 -1.03 -1.03 -3.029 -15.02 1.999 -7.027 -17.02 -7.027 -3.029 7.996 -5.028 -5.028 -3.029 -1.03 -7.027 -5.028
0.295 0.9692 -2.06 -8.057 -17.02 4.967 -10.06 -18.05 -11.02 -4.059 6.966 -3.029 -6.058 -8.057 -4.059 -5.028 -6.058
0.3 2.968 0 -10.06 -19.02 2.968 -10.06 -18.05 -13.02 -6.058 4.967 -1.03 -4.059 -10.06 -2.06 -1.03 -4.059
0.305 -1.03 -5.028 -11.02 -17.02 -2.06 -11.02 -19.02 -13.02 -9.026 0 -5.028 -7.027 -17.02 -5.028 -3.029 -7.027
0.31 2.968 -4.059 -4.059 -9.026 -4.059 -8.057 -18.05 -9.026 -2.06 -2.06 -9.026 -8.057 -18.05 -2.06 -7.027 -8.057
0.315 0.9692 0 1.999 -3.029 -10.06 -10.06 -16.05 -5.028 0 -16.05 -21.02 -14.05 -24.05 -2.06 -15.02 -12.05
0.32 -3.029 0 -2.06 0.9692 -17.02 -13.02 -17.02 -3.029 -2.06 -29.02 -33.01 -25.02 -25.02 -1.03 -25.02 -11.02
0.325 -1.03 1.999 0.9692 -2.06 -17.02 -16.05 -12.05 -1.03 2.968 -36.04 -29.02 -23.02 -24.05 1.999 -23.02 -12.05
0.33 0.9692 0 2.968 0 -17.02 -14.05 -6.058 -2.06 0.9692 -34.04 -21.02 -19.02 -18.05 -1.03 -15.02 -8.057
0.335 -1.03 0.9692 0 0 -17.02 -9.026 -3.029 -2.06 0 -25.02 -7.027 -11.02 -13.02 0 -5.028 -7.027
0.34 -3.029 -3.029 1.999 -1.03 -11.02 -2.06 0.9692 0 1.999 -6.058 1.999 -2.06 -4.059 2.968 1.999 0
0.345 -5.028 -5.028 -2.06 -2.06 -3.029 1.999 -1.03 -2.06 0.9692 0.9692 11.99 5.997 1.999 4.967 7.996 0.9692
0.35 -7.027 -8.057 -3.029 0.9692 -1.03 0 -1.03 0 -1.03 7.996 11.99 9.995 5.997 7.996 9.995 9.995
0.355 -7.027 -9.026 0.9692 0 0 0.9692 1.999 0.9692 1.999 2.968 13.99 11.99 10.96 8.965 9.995 16.96
0.36 -7.027 -8.057 0 -2.06 0 2.968 1.999 1.999 -2.06 0 13.99 13.99 18.96 10.96 14.96 22.96
0.365 -5.028 -9.026 0 -5.028 0.9692 3.998 3.998 3.998 -1.03 -5.028 17.99 15.99 21.99 11.99 19.99 25.99
0.37 -1.03 -4.059 0 -6.058 -2.06 8.965 5.997 6.966 -7.027 1.999 23.99 20.96 24.96 10.96 24.96 25.99
0.375 -1.03 -4.059 1.999 -8.057 5.997 10.96 3.998 4.967 -11.02 10.96 31.98 24.96 22.96 4.967 28.96 21.99
0.38 0.9692 -4.059 -5.028 -15.02 9.995 11.99 -2.06 0 -17.02 25.99 31.98 23.99 17.99 -2.06 23.99 13.99
0.385 2.968 -7.027 -11.02 -16.05 15.99 8.965 -6.058 -2.06 -22.05 34.95 28.96 18.96 10.96 -4.059 18.96 9.995
0.39 -1.03 -5.028 -14.05 -20.05 13.99 0.9692 -14.05 -8.057 -24.05 30.95 16.96 8.965 0.9692 -12.05 10.96 3.998
0.395 2.968 -9.026 -17.02 -21.02 9.995 -5.028 -19.02 -17.02 -27.02 19.99 3.998 -2.06 -5.028 -17.02 -2.06 0.9692
0.4 2.968 -8.057 -12.05 -17.02 2.968 -9.026 -20.05 -16.05 -26.05 11.99 1.999 -3.029 -10.06 -17.02 -2.06 -5.028
0.405 2.968 -6.058 -8.057 -14.05 -2.06 -9.026 -16.05 -12.05 -22.05 11.99 0 -7.027 -14.05 -20.05 -8.057 -9.026
0.41 4.967 -2.06 -3.029 -7.027 1.999 -5.028 -9.026 -3.029 -17.02 15.99 0.9692 -7.027 -15.02 -19.02 -7.027 -15.02
0.415 6.966 1.999 -1.03 0.9692 6.966 0 0.9692 0.9692 -9.026 23.99 0 -7.027 -14.05 -15.02 -7.027 -15.02
0.42 8.965 0 1.999 0 8.965 5.997 0 2.968 -5.028 17.99 -4.059 -11.02 -18.05 -13.02 -7.027 -19.02
0.425 4.967 -1.03 0.9692 -2.06 0 1.999 0.9692 0 -5.028 0 -13.02 -19.02 -21.02 -17.02 -11.02 -23.02
0.43 2.968 -4.059 -1.03 -2.06 -6.058 1.999 -5.028 0 -5.028 -17.02 -18.05 -24.05 -23.02 -15.02 -13.02 -25.02
0.435 -5.028 -11.02 -3.029 -2.06 -18.05 -5.028 -9.026 -2.06 -3.029 -33.01 -22.05 -26.05 -21.02 -13.02 -17.02 -23.02
0.44 -13.02 -10.06 -5.028 1.999 -27.02 -13.02 -11.02 -3.029 -3.029 -41.01 -21.02 -23.02 -21.02 -13.02 -21.02 -21.02
0.445 -13.02 -8.057 -1.03 6.966 -24.05 -13.02 -8.057 1.999 -1.03 -35.01 -11.02 -14.05 -11.02 -3.029 -19.02 -15.02
0.45 -3.029 0.9692 2.968 10.96 -18.05 -5.028 0 2.968 6.966 -23.02 0.9692 -1.03 1.999 1.999 -11.02 -4.059
0.455 0.9692 1.999 7.996 15.99 -9.026 0 3.998 9.995 11.99 -11.02 5.997 5.997 7.996 9.995 0 3.998
