    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
0.59 10.99 5.969 -6.042 -11.06 -26.06 -34.07 -22.06 -38.07 -37.05 -44.04 0 -12.01 -10.04 -25.04 -18.05 -12.01
0.595 6.988 1.965 -5.022 -15.07 -25.04 -39.02 -15.07 -33.05 -31.01 -35.01 -1.019 -17.03 -7.061 -27 -15.07 -7.061
0.6 6.988 0 1.965 -10.04 -19.07 -39.02 -4.003 -20.02 -21.04 -21.04 1.965 -16.01 -4.003 -19.07 -10.04 -1.019
0.605 12.96 0 2.984 -3.057 -8.007 -26.06 0.9463 -5.022 -8.007 -8.007 2.984 -15.07 1.965 -10.04 -5.022 7.934
0.61 19 0 5.969 0 0 -10.04 6.988 0 -1.019 0 2.984 -12.01 -1.019 -5.022 0.9463 13.98
0.615 14.99 0.9463 2.984 0 0 0 4.95 1.965 1.965 1.965 2.984 -15.07 0.9463 -8.007 -1.019 13.98
0.62 8.953 -5.022 1.965 1.965 -5.022 -1.019 2.984 -1.019 -1.019 -1.019 1.965 -16.01 1.965 -15.07 0 10.99
0.625 -1.019 -7.061 -3.057 -1.019 -9.026 -5.022 0 -2.038 -1.019 0.9463 0.9463 -15.07 0.9463 -17.03 -1.019 9.972
0.63 0.9463 0 1.965 -2.038 -4.003 -6.042 4.95 4.95 0 0.9463 -1.019 -8.007 0.9463 -11.06 2.984 14.99
0.635 8.953 10.99 7.934 8.953 0 1.965 11.94 13.98 4.95 3.931 8.953 -1.019 9.972 -3.057 9.972 19
0.64 24.97 23.95 15.94 19.94 9.972 7.934 17.98 21.98 7.934 7.934 13.98 9.972 19.94 0 17.98 21.98
0.645 36.98 29.99 25.99 28.97 19 19.94 21.98 27.95 7.934 11.94 21.98 14.99 22.93 6.988 19 23.95
0.65 38.94 29.99 20.96 28.97 17.98 24.97 19.94 24.97 2.984 2.984 19 12.96 17.98 3.931 13.98 20.96
0.655 26.93 17.98 5.969 17.98 9.972 15.94 7.934 11.94 -7.061 -3.057 5.969 0 1.965 -2.038 0.9463 17.98
0.66 8.953 6.988 -4.003 3.931 -3.057 1.965 -2.038 0.9463 -23 -18.05 -6.042 -10.04 -13.03 -6.042 -19.07 12.96
0.665 -5.022 -4.003 -21.04 -9.026 -24.02 -9.026 -20.02 -15.07 -44.04 -35.01 -22.06 -23 -32.03 -14.05 -40.03 6.988
0.67 -25.04 -21.04 -35.01 -25.04 -43.02 -27 -41.05 -35.01 -65 -51.03 -37.05 -31.01 -45.06 -23 -55.03 0.9463
0.675 -33.05 -30.06 -44.04 -36.03 -58.01 -38.07 -56.05 -48.04 -81.01 -60.05 -47.02 -34.07 -55.03 -31.01 -63.04 -9.026
0.68 -41.05 -38.07 -55.03 -46 -66.02 -48.04 -64.05 -58.01 -87.06 -69 -51.03 -36.03 -57.07 -37.05 -65 -19.07
0.685 -47.02 -43.02 -59.03 -51.03 -69 -55.03 -67.04 -61.07 -89.02 -71.04 -51.03 -39.02 -55.03 -43.02 -61.07 -27
0.69 -41.05 -37.05 -53.06 -48.04 -64.05 -56.05 -58.01 -58.01 -84.07 -69 -44.04 -37.05 -48.04 -42.07 -54.01 -28.02
0.695 -35.01 -31.01 -44.04 -42.07 -55.03 -52.04 -49.06 -52.04 -80.07 -68.06 -32.03 -33.05 -36.03 -38.07 -48.04 -24.02
0.7 -27 -21.04 -37.05 -35.01 -43.02 -45.06 -39.02 -47.02 -75.05 -69 -25.04 -29.04 -31.01 -35.01 -45.06 -23
0.705 -17.03 -13.03 -24.02 -25.04 -31.01 -37.05 -33.05 -41.05 -68.06 -62.02 -16.01 -20.02 -22.06 -24.02 -40.03 -14.05
0.71 -9.026 -9.026 -18.05 -17.03 -23 -25.04 -29.04 -35.01 -64.05 -54.01 -14.05 -12.01 -18.05 -17.03 -36.03 -8.007
0.715 -3.057 -7.061 -13.03 -9.026 -19.07 -19.07 -25.04 -29.04 -59.03 -47.02 -13.03 -11.06 -17.03 -9.026 -33.05 -3.057
0.72 0.9463 -7.061 -7.061 -3.057 -15.07 -13.03 -21.04 -23 -55.03 -39.02 -11.06 -5.022 -15.07 -3.057 -27 -2.038
0.725 0.9463 -9.026 -3.057 0.9463 -13.03 -11.06 -17.03 -17.03 -51.03 -33.05 -7.061 -3.057 -11.06 -2.038 -25.04 1.965
0.73 -3.057 -7.061 -1.019 -2.038 -11.06 -9.026 -15.07 -13.03 -49.06 -31.01 -7.061 -1.019 -9.026 1.965 -23 3.931
0.735 -11.06 -7.061 -5.022 -2.038 -11.06 -7.061 -15.07 -13.03 -47.02 -31.01 -9.026 0.9463 -11.06 1.965 -25.04 3.931
0.74 -19.07 -7.061 -11.06 -1.019 -15.07 -9.026 -17.03 -15.07 -47.02 -31.01 -15.07 -1.019 -17.03 0 -29.04 1.965
0.745 -25.04 -5.022 -19.07 -3.057 -16.01 -8.007 -21.04 -17.03 -45.06 -29.04 -19.07 -3.057 -23 -2.038 -33.05 -2.038
0.75 -19.07 -1.019 -21.04 -3.057 -19.07 -11.06 -23 -19.07 -41.05 -27 -21.04 -5.022 -23 -1.019 -31.01 -1.019
0.755 -7.061 0.9463 -16.01 0 -16.01 -10.04 -20.02 -18.05 -37.05 -25.04 -15.07 -4.003 -19.07 -2.038 -29.04 -3.057
0.76 0.9463 6.988 -10.04 -1.019 -10.04 -10.04 -14.05 -16.01 -35.01 -25.04 -9.026 -6.042 -12.01 -4.003 -25.04 -7.061
0.765 4.95 7.934 -5.022 -2.038 -9.026 -13.03 -11.06 -17.03 -29.04 -23 -3.057 -5.022 -5.022 -5.022 -21.04 -7.061
0.77 4.95 6.988 0.9463 0.9463 -5.022 -9.026 -4.003 -12.01 -27 -18.05 -2.038 0 0 0 -14.05 -4.003
0.775 2.984 2.984 -1.019 0 -7.061 -5.022 -2.038 -9.026 -22.06 -20.02 -8.007 -1.019 -2.038 1.965 -12.01 -4.003
